CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,test_resp,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,EPER UTCA,stimuli/objects/028a.jpg,object,1,stimuli/objects/062a.jpg,stimuli/objects/062a.jpg,stimuli/objects/047b.jpg,stimuli/objects/062b.jpg,stimuli/objects/047a.jpg,target,dist2,lure,dist1,0,0,0,0,0,19,19,39,,,,,,,100.50209711678326,invalid,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,101.54659964330494,d,1.6702154595404863,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KOKTÉL UTCA,stimuli/scenes/106a.jpg,scene,1,stimuli/scenes/096a.jpg,stimuli/scenes/096a.jpg,stimuli/scenes/096b.jpg,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,target,lure,dist1,dist2,0,0,0,0,0,20,20,44,,,,,,,103.24067167565227,invalid,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,104.27160623669624,f,2.081333253532648,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MARTINI UTCA,stimuli/scenes/069a.jpg,scene,0,stimuli/scenes/069a.jpg,stimuli/objects/065a.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/069a.jpg,stimuli/objects/065b.jpg,dist1,lure,target,dist2,0,0,0,0,0,21,21,54,,,,,,,106.3761146478355,invalid,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,107.41746356897056,j,1.894687432795763,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZITAKÖTŐ UTCA,stimuli/objects/064a.jpg,object,0,stimuli/objects/064a.jpg,stimuli/objects/037b.jpg,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,stimuli/objects/037a.jpg,dist2,target,lure,dist1,0,0,0,0,0,22,22,3,,,,,,,109.3416025787592,invalid,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,110.40616377443075,j,2.4748393781483173,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SÜTEMÉNY UTCA,stimuli/scenes/043a.jpg,scene,2,stimuli/objects/033a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/026b.jpg,stimuli/objects/033a.jpg,lure,dist1,dist2,target,0,0,0,0,0,23,23,2,,,,,,,112.90605803206563,invalid,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,113.95327284559608,k,2.431494105607271,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PÉKSÉG UTCA,stimuli/objects/030a.jpg,object,0,stimuli/objects/030a.jpg,stimuli/objects/030a.jpg,stimuli/objects/073a.jpg,stimuli/objects/030b.jpg,stimuli/objects/073b.jpg,target,dist1,lure,dist2,0,0,0,0,0,24,24,48,,,,,,,116.4085196480155,invalid,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,117.46987934224308,d,2.2748799957334995,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÜZET UTCA,stimuli/scenes/008a.jpg,scene,2,stimuli/objects/024a.jpg,stimuli/objects/024b.jpg,stimuli/scenes/117a.jpg,stimuli/objects/024a.jpg,stimuli/scenes/117b.jpg,lure,dist1,target,dist2,0,0,0,0,0,25,25,69,,,,,,,119.77239557169378,invalid,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,120.83805150911212,j,1.8024839889258146,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZERSZÁM UTCA,stimuli/objects/037a.jpg,object,0,stimuli/objects/037a.jpg,stimuli/objects/037a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/097a.jpg,stimuli/objects/037b.jpg,target,dist2,dist1,lure,0,0,0,0,0,26,26,19,,,,,,,122.67681211046875,invalid,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,123.70953433774412,d,1.2833207100629807,None,123.70953433774412,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RIBIZLI UTCA,stimuli/scenes/017a.jpg,scene,0,stimuli/scenes/017a.jpg,stimuli/scenes/068b.jpg,stimuli/scenes/017a.jpg,stimuli/scenes/068a.jpg,stimuli/scenes/017b.jpg,dist2,target,dist1,lure,0,0,0,0,0,27,27,37,,,,,,,125.00882916152477,invalid,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,126.0533475484699,j,2.4910045582801104,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KIRAKÓ UTCA,stimuli/scenes/021a.jpg,scene,1,stimuli/scenes/020a.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,dist2,dist1,target,lure,0,0,0,0,0,28,28,59,,,,,,,128.58646040037274,invalid,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,129.62555017136037,j,2.070650804787874,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
