CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_test.stopped,city_text_test.stopped,street_text_test.stopped,test_question.stopped,test_key_resp.stopped,button_image.stopped,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,plate.stopped,city_text.stopped,street_text.stopped,learning_image.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÓKA UTCA,stimuli/scenes/058a.jpg,scene,0,stimuli/scenes/058a.jpg,stimuli/scenes/058a.jpg,stimuli/scenes/058b.jpg,stimuli/objects/111b.jpg,stimuli/objects/111a.jpg,target,lure,dist2,dist1,0,0,0,0,,,,,0,43,43,51,,,,,,,656.3346830999944,,,,,,657.3348593999981,,,,,,,,654.9681025999889,654.9681025999889,654.9681025999889,654.9681025999889,654.9681025999889,654.9681025999889,left,None,1.3494653000379913,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PÉKSÉG UTCA,stimuli/scenes/073a.jpg,scene,2,stimuli/objects/059a.jpg,stimuli/objects/059a.jpg,stimuli/objects/046b.jpg,stimuli/objects/059b.jpg,stimuli/objects/046a.jpg,target,dist2,lure,dist1,0,0,0,0,,,,,0,44,44,61,,,,,,,661.3176791000005,,,,,,662.3183790999756,,,,,,,,657.3348593999981,657.3348593999981,657.3348593999981,657.3348593999981,657.3348593999981,657.3348593999981,left,None,3.959469200024614,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SIVATAG UTCA,stimuli/scenes/016a.jpg,scene,2,stimuli/objects/046a.jpg,stimuli/objects/046b.jpg,stimuli/objects/006a.jpg,stimuli/objects/006b.jpg,stimuli/objects/046a.jpg,lure,dist1,dist2,target,0,0,0,0,,,,,0,45,45,23,,,,,,,666.3173854999768,,,,,,667.3178266999894,,,,,,,,662.3183790999756,662.3183790999756,662.3183790999756,662.3183790999756,662.3183790999756,662.3183790999756,None,None,,666.3173854999768,666.3173854999768,666.3173854999768,666.3173854999768,666.3173854999768,666.3173854999768,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HEGEDŰ UTCA,stimuli/scenes/113a.jpg,scene,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/036a.jpg,lure,dist2,dist1,target,0,0,0,0,,,,,0,46,46,69,,,,,,,671.3181440999906,,,,,,672.3176323999942,,,,,,,,667.3178266999894,667.3178266999894,667.3178266999894,667.3178266999894,667.3178266999894,667.3178266999894,None,None,,671.3181440999906,671.3181440999906,671.3181440999906,671.3181440999906,671.3181440999906,671.3181440999906,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KOCKA UTCA,stimuli/objects/062a.jpg,object,0,stimuli/objects/062a.jpg,stimuli/scenes/095b.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,stimuli/scenes/095a.jpg,dist2,target,lure,dist1,0,0,0,0,,,,,0,47,47,35,,,,,,,686.3837764999771,,,,,,687.3875206999946,,,,,,,,672.3176323999942,672.3176323999942,672.3176323999942,672.3176323999942,672.3176323999942,672.3176323999942,right,space,1.7773857000283897,,,,,,,674.1198770999908,674.1198770999908,674.1198770999908,674.1198770999908,674.1198770999908,12.24691750004422,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KORONA UTCA,stimuli/scenes/108a.jpg,scene,1,stimuli/scenes/011a.jpg,stimuli/objects/076a.jpg,stimuli/scenes/011b.jpg,stimuli/objects/076b.jpg,stimuli/scenes/011a.jpg,dist1,lure,dist2,target,0,0,0,0,,,,,0,48,48,9,,,,,,,689.3695917999721,,,,,,,,,,,,,,687.3875206999946,687.3875206999946,687.3875206999946,687.3875206999946,687.3875206999946,687.3875206999946,right,None,1.963169100054074,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MUNKA UTCA,stimuli/scenes/039a.jpg,scene,2,stimuli/objects/067a.jpg,stimuli/scenes/097a.jpg,stimuli/objects/067b.jpg,stimuli/objects/067a.jpg,stimuli/scenes/097b.jpg,dist1,lure,target,dist2,0,0,0,0,,,,,0,49,49,4,,,,,,,692.1172437999921,,,,,,693.1173916999833,,,,,,,,690.3844499999832,690.3844499999832,690.3844499999832,690.3844499999832,690.3844499999832,690.3844499999832,left,None,1.7038348000205588,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,AJÁNDÉK UTCA,stimuli/scenes/005a.jpg,scene,1,stimuli/scenes/009a.jpg,stimuli/scenes/078b.jpg,stimuli/scenes/078a.jpg,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,dist2,dist1,target,lure,0,0,0,0,,,,,0,50,50,28,,,,,,,694.9505768999807,,,,,,695.9509378999937,,,,,,,,693.1173916999833,693.1173916999833,693.1173916999833,693.1173916999833,693.1173916999833,693.1173916999833,left,None,1.8099377000180539,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CITROM UTCA,stimuli/scenes/036a.jpg,scene,2,stimuli/objects/043a.jpg,stimuli/objects/043b.jpg,stimuli/objects/067a.jpg,stimuli/objects/043a.jpg,stimuli/objects/067b.jpg,lure,dist1,target,dist2,0,0,0,0,,,,,0,51,51,26,,,,,,,698.685287899978,,,,,,,,,,,,,,695.9509378999937,695.9509378999937,695.9509378999937,695.9509378999937,695.9509378999937,695.9509378999937,left,None,2.7163948000234086,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,AKÁC UTCA,stimuli/scenes/081a.jpg,scene,2,stimuli/objects/055a.jpg,stimuli/objects/055b.jpg,stimuli/objects/107b.jpg,stimuli/objects/107a.jpg,stimuli/objects/055a.jpg,lure,dist2,dist1,target,0,0,0,0,,,,,0,52,52,74,,,,,,,702.767984199978,,,,,,703.7673271999811,,,,,,,,699.7006503999874,699.7006503999874,699.7006503999874,699.7006503999874,699.7006503999874,699.7006503999874,left,None,3.050691300042672,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KERET UTCA,stimuli/scenes/027a.jpg,scene,0,stimuli/scenes/027a.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,stimuli/scenes/027a.jpg,stimuli/scenes/027b.jpg,dist1,dist2,target,lure,0,0,0,0,,,,,0,53,53,3,,,,,,,704.9865187999967,,,,,,,,,,,,,,703.7673271999811,703.7673271999811,703.7673271999811,703.7673271999811,703.7673271999811,703.7673271999811,right,None,1.1926646000356413,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-20_15h10.30.486,Hippopolis_Learning,2022.2.2,59.990197607384104,
