CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OLDAL UTCA,stimuli/scenes/093a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,stimuli/objects/022a.jpg,stimuli/objects/107a.jpg,stimuli/objects/022b.jpg,lure,dist1,target,dist2,0,0,0,0,0,47,47,11,,,,,,,324.6392444036901,325.6722014416009,325.6722014416009,325.6722014416009,325.6722014416009,328.6637299377471,328.6637299377471,328.6637299377471,328.6637299377471,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOTOR UTCA,stimuli/objects/097a.jpg,object,1,stimuli/objects/071a.jpg,stimuli/objects/015b.jpg,stimuli/objects/071b.jpg,stimuli/objects/071a.jpg,stimuli/objects/015a.jpg,dist2,lure,target,dist1,0,0,0,0,0,48,48,36,,,,,,,330.63906588591635,331.6712009329349,331.6712009329349,331.6712009329349,331.6712009329349,334.7027030810714,334.7027030810714,334.7027030810714,334.7027030810714,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TELEP UTCA,stimuli/scenes/048a.jpg,scene,2,stimuli/objects/120a.jpg,stimuli/objects/120a.jpg,stimuli/objects/120b.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/119a.jpg,target,lure,dist2,dist1,0,0,0,0,0,49,49,75,,,,,,,336.6447405088693,337.66858256980777,337.66858256980777,337.66858256980777,337.66858256980777,340.6764037590474,340.6764037590474,340.6764037590474,340.6764037590474,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PIZSAMA UTCA,stimuli/scenes/060a.jpg,scene,2,stimuli/objects/006a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/007a.jpg,stimuli/objects/006b.jpg,stimuli/objects/006a.jpg,dist2,dist1,lure,target,0,0,0,0,0,50,50,79,,,,,,,342.64667217060924,343.6677969675511,343.6677969675511,343.6677969675511,343.6677969675511,346.69210678339005,346.69210678339005,346.69210678339005,346.69210678339005,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ÁLOM UTCA,stimuli/objects/070a.jpg,object,0,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,stimuli/objects/070a.jpg,lure,dist2,dist1,target,0,0,0,0,0,51,51,50,,,,,,,348.655729919672,349.6868563722819,349.6868563722819,349.6868563722819,349.6868563722819,352.6885818373412,352.6885818373412,352.6885818373412,352.6885818373412,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MUNKA UTCA,stimuli/scenes/039a.jpg,scene,2,stimuli/objects/067a.jpg,stimuli/scenes/097a.jpg,stimuli/objects/067b.jpg,stimuli/objects/067a.jpg,stimuli/scenes/097b.jpg,dist1,lure,target,dist2,0,0,0,0,0,52,52,4,,,,,,,354.65611121430993,355.68599457480013,355.68599457480013,355.68599457480013,355.68599457480013,358.6942387316376,358.6942387316376,358.6942387316376,358.6942387316376,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOGYORÓ UTCA,stimuli/objects/106a.jpg,object,1,stimuli/objects/103a.jpg,stimuli/scenes/116a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/scenes/116b.jpg,dist1,lure,target,dist2,0,0,0,0,0,53,53,54,,,,,,,360.6643121410161,361.6901872511953,361.6901872511953,361.6901872511953,361.6901872511953,364.7279272545129,364.7279272545129,364.7279272545129,364.7279272545129,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPUCS UTCA,stimuli/scenes/051a.jpg,scene,0,stimuli/scenes/051a.jpg,stimuli/scenes/051b.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/090b.jpg,lure,target,dist1,dist2,0,0,0,0,0,54,54,68,,,,,,,366.6670306492597,367.6903467979282,367.6903467979282,367.6903467979282,367.6903467979282,370.7103140298277,370.7103140298277,370.7103140298277,370.7103140298277,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ÜVEG UTCA,stimuli/scenes/061a.jpg,scene,2,stimuli/objects/085a.jpg,stimuli/objects/085b.jpg,stimuli/scenes/084a.jpg,stimuli/objects/085a.jpg,stimuli/scenes/084b.jpg,lure,dist1,target,dist2,0,0,0,0,0,55,55,19,,,,,,,372.6790793463588,373.7075227480382,373.7075227480382,373.7075227480382,373.7075227480382,376.71711418405175,376.71711418405175,376.71711418405175,376.71711418405175,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/objects/032a.jpg,object,2,stimuli/scenes/119a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/119b.jpg,target,dist2,dist1,lure,0,0,0,0,0,56,56,67,,,,,,,378.68710393458605,379.71588850952685,379.71588850952685,379.71588850952685,379.71588850952685,382.73591949790716,382.73591949790716,382.73591949790716,382.73591949790716,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/scenes/031a.jpg,scene,1,stimuli/scenes/064a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/064b.jpg,stimuli/scenes/064a.jpg,dist1,dist2,lure,target,0,0,0,0,0,57,57,22,,,,,,,384.70422856882215,385.73221043497324,385.73221043497324,385.73221043497324,385.73221043497324,388.73700677603483,388.73700677603483,388.73700677603483,388.73700677603483,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HEGESZTŐ UTCA,stimuli/scenes/043a.jpg,scene,0,stimuli/scenes/043a.jpg,stimuli/scenes/043b.jpg,stimuli/scenes/043a.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,lure,target,dist1,dist2,0,0,0,0,0,58,58,77,,,,,,,390.71701715141535,391.75624780729413,391.75624780729413,391.75624780729413,391.75624780729413,394.7352296859026,394.7352296859026,394.7352296859026,394.7352296859026,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PULÓVER UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/scenes/050b.jpg,stimuli/scenes/050a.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,dist2,dist1,lure,target,0,0,0,0,0,59,59,43,,,,,,,396.7361148092896,397.7653596736491,397.7653596736491,397.7653596736491,397.7653596736491,400.77573546767235,400.77573546767235,400.77573546767235,400.77573546767235,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BONBON UTCA,stimuli/objects/095a.jpg,object,2,stimuli/scenes/007a.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,dist2,dist1,target,lure,0,0,0,0,0,60,60,72,,,,,,,402.74066110141575,403.76464311406016,403.76464311406016,403.76464311406016,403.76464311406016,406.7824662681669,406.7824662681669,406.7824662681669,406.7824662681669,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HÁRFA UTCA,stimuli/objects/083a.jpg,object,2,stimuli/scenes/028a.jpg,stimuli/scenes/028b.jpg,stimuli/objects/012b.jpg,stimuli/objects/012a.jpg,stimuli/scenes/028a.jpg,lure,dist2,dist1,target,0,0,0,0,0,61,61,16,,,,,,,408.746516417712,409.77030032128096,409.77030032128096,409.77030032128096,409.77030032128096,412.7694630920887,412.7694630920887,412.7694630920887,412.7694630920887,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TERASZ UTCA,stimuli/objects/063a.jpg,object,2,stimuli/scenes/104a.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/056b.jpg,target,dist1,lure,dist2,0,0,0,0,0,62,62,48,,,,,,,414.753357315436,415.782059783116,415.782059783116,415.782059783116,415.782059783116,418.7660952042788,418.7660952042788,418.7660952042788,418.7660952042788,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LÁNDZSA UTCA,stimuli/scenes/090a.jpg,scene,0,stimuli/scenes/090a.jpg,stimuli/scenes/090a.jpg,stimuli/objects/091b.jpg,stimuli/scenes/090b.jpg,stimuli/objects/091a.jpg,target,dist2,lure,dist1,0,0,0,0,0,63,63,39,,,,,,,420.7545456700027,421.78211514279246,421.78211514279246,421.78211514279246,421.78211514279246,424.77393691800535,424.77393691800535,424.77393691800535,424.77393691800535,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZOMSZÉD UTCA,stimuli/objects/026a.jpg,object,1,stimuli/objects/004a.jpg,stimuli/objects/027b.jpg,stimuli/objects/004b.jpg,stimuli/objects/004a.jpg,stimuli/objects/027a.jpg,dist2,lure,target,dist1,0,0,0,0,0,64,64,65,,,,,,,426.7708641756326,427.7970596216619,427.7970596216619,427.7970596216619,427.7970596216619,430.8064352199435,430.8064352199435,430.8064352199435,430.8064352199435,None,,,,,,,,,,student1,2022-10-25_10h37.17.201,Hippopolis_Updating,2022.2.2,59.95219243166023,
