CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,clock0.started,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KARTON UTCA,stimuli/objects/101a.jpg,object,2,stimuli/scenes/044a.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/044b.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/074b.jpg,dist1,lure,target,dist2,0,1,1,0,0,69,69,8,,,,,,,657.8046158310026,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,658.8264463040978,j,2.283709419891238,target,None,,658.8264463040978,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OLDAL UTCA,stimuli/scenes/093a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,stimuli/objects/022a.jpg,stimuli/objects/107a.jpg,stimuli/objects/022b.jpg,lure,dist1,target,dist2,0,1,1,0,0,70,70,11,,,,,,,661.1405963487923,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,662.1923534087837,f,3.1897764690220356,dist1,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PÉKSÉG UTCA,stimuli/scenes/073a.jpg,scene,2,stimuli/objects/059a.jpg,stimuli/objects/059a.jpg,stimuli/objects/046b.jpg,stimuli/objects/059b.jpg,stimuli/objects/046a.jpg,target,dist2,lure,dist1,0,1,1,0,0,71,71,61,,,,,,,665.4031619392335,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,666.4589670598507,f,2.907306469976902,dist2,None,,666.4589670598507,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BOLYGÓ UTCA,stimuli/scenes/118a.jpg,scene,1,stimuli/scenes/087a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/011b.jpg,stimuli/scenes/087a.jpg,dist1,lure,dist2,target,0,1,1,0,0,72,72,31,,,,,,,669.3937023691833,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,670.4442965779454,d,2.347145391628146,dist1,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RÁDIÓ UTCA,stimuli/scenes/068a.jpg,scene,1,stimuli/scenes/067a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,stimuli/scenes/018a.jpg,dist2,target,lure,dist1,0,1,1,0,0,73,73,44,,,,,,,672.8118044342846,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,673.8635863754898,f,3.470681795850396,target,None,677.303263887763,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OROSZLÁN UTCA,stimuli/scenes/072a.jpg,scene,0,stimuli/scenes/072a.jpg,stimuli/scenes/072a.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/027b.jpg,stimuli/scenes/027a.jpg,target,lure,dist2,dist1,0,1,1,0,0,74,74,66,,,,,,,677.3699221983552,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,678.4321209881455,d,2.117401858791709,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOGYORÓ UTCA,stimuli/objects/106a.jpg,object,1,stimuli/objects/103a.jpg,stimuli/scenes/116a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/scenes/116b.jpg,dist1,lure,target,dist2,0,1,1,0,0,75,75,54,,,,,,,680.5855273790658,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,681.6398853864521,j,3.3733237329870462,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KERET UTCA,stimuli/scenes/027a.jpg,scene,0,stimuli/scenes/027a.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,stimuli/scenes/027a.jpg,stimuli/scenes/027b.jpg,dist1,dist2,target,lure,0,1,1,0,0,76,76,3,,,,,,,685.0451232939959,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,686.0792808160186,j,1.894489273428917,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TRIATLON UTCA,stimuli/objects/024a.jpg,object,0,stimuli/objects/024a.jpg,stimuli/objects/024b.jpg,stimuli/objects/080a.jpg,stimuli/objects/024a.jpg,stimuli/objects/080b.jpg,lure,dist1,target,dist2,0,1,1,0,0,77,77,2,,,,,,,687.9944783914834,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,689.0581000372767,j,2.1638002805411816,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KERÉK UTCA,stimuli/scenes/096a.jpg,scene,1,stimuli/scenes/041a.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/117b.jpg,dist1,lure,target,dist2,0,1,1,0,0,78,78,20,,,,,,,691.2440526243299,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,692.2900143936276,j,2.61133661493659,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PETÁRDA UTCA,stimuli/objects/009a.jpg,object,0,stimuli/objects/009a.jpg,stimuli/objects/009a.jpg,stimuli/scenes/051a.jpg,stimuli/objects/009b.jpg,stimuli/scenes/051b.jpg,target,dist1,lure,dist2,0,1,1,0,0,79,79,64,,,,,,,694.944313371554,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,696.0061768963933,d,2.4468882512301207,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,19,5,,,None,,698.4901560246944,,,,,,
