CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,REPÜLŐ UTCA,stimuli/objects/008a.jpg,object,0,stimuli/objects/008a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,stimuli/objects/008b.jpg,stimuli/objects/008a.jpg,dist1,dist2,lure,target,0,1,1,0,0,57,57,20,,,,,,,589.2076409291476,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,590.2448674608022,,k,1.8554824125021696,target,None,590.2448674608022,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MARTINI UTCA,stimuli/scenes/036a.jpg,scene,0,stimuli/scenes/036a.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/036b.jpg,stimuli/scenes/065b.jpg,stimuli/scenes/036a.jpg,dist1,lure,dist2,target,0,1,1,0,0,58,58,66,,,,,,,592.1294013615698,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,593.1927371919155,,k,2.5872496608644724,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TORONY UTCA,stimuli/scenes/120a.jpg,scene,0,stimuli/scenes/120a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/034b.jpg,stimuli/scenes/120b.jpg,target,dist1,dist2,lure,0,1,1,0,0,59,59,59,,,,,,,595.8017971813679,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,596.860315522179,,d,2.0715758744627237,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KÍGYÓ UTCA,stimuli/objects/086a.jpg,object,2,stimuli/scenes/109a.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/016a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/016b.jpg,target,dist1,lure,dist2,0,1,1,0,0,60,60,73,,,,,,,598.9620046596974,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,599.9991164300591,,d,1.6368075981736183,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MUNKA UTCA,stimuli/objects/059a.jpg,object,0,stimuli/objects/059a.jpg,stimuli/scenes/115b.jpg,stimuli/scenes/115a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,dist2,dist1,target,lure,0,1,1,0,0,61,61,1,,,,,,,601.6580677535385,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,602.713094426319,,j,2.4588453862816095,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PÁFRÁNY UTCA,stimuli/objects/030a.jpg,object,0,stimuli/objects/030a.jpg,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,target,lure,dist1,dist2,0,1,1,0,0,62,62,67,,,,,,,605.1900684460998,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,606.2590384669602,,d,2.081050993874669,target,None,606.2590384669602,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KORONA UTCA,stimuli/scenes/080a.jpg,scene,0,stimuli/scenes/080a.jpg,stimuli/scenes/012a.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,dist1,dist2,target,lure,0,1,1,0,0,63,63,36,,,,,,,608.3635490555316,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,609.4117208346725,,j,1.6160357911139727,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TÜKÖR UTCA,stimuli/scenes/039a.jpg,scene,0,stimuli/scenes/039a.jpg,stimuli/scenes/039a.jpg,stimuli/scenes/113b.jpg,stimuli/scenes/113a.jpg,stimuli/scenes/039b.jpg,target,dist2,dist1,lure,0,1,1,0,0,64,64,68,,,,,,,611.0436488129199,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,612.0778828430921,,d,2.486023925244808,target,None,612.0778828430921,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BAGOLY UTCA,stimuli/objects/019a.jpg,object,0,stimuli/objects/019a.jpg,stimuli/objects/019a.jpg,stimuli/scenes/002a.jpg,stimuli/objects/019b.jpg,stimuli/scenes/002b.jpg,target,dist1,lure,dist2,0,1,1,0,0,65,65,41,,,,,,,614.5898590758443,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,615.6467779111117,,d,2.1974215004593134,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,ECSET UTCA,stimuli/objects/100a.jpg,object,2,stimuli/scenes/019a.jpg,stimuli/scenes/087b.jpg,stimuli/scenes/087a.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,dist2,dist1,target,lure,0,1,1,0,0,66,66,60,,,,,,,617.8777639139444,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,618.9140692446381,,f,2.8663107212632895,dist1,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
