CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,clock0.stopped,key_resp.keys,test_resp,short_break_key.keys,fx_cross.stopped,key_resp.rt,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ÁLLOMÁS UTCA,stimuli/scenes/069a.jpg,scene,0,stimuli/scenes/069a.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/069a.jpg,dist1,dist2,lure,target,0,0,0,1,0,51,51,42,,,,,,,226.25418169994373,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,227.25791089993436,,,k,target,None,227.25791089993436,2.72435240005143,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SÜTEMÉNY UTCA,stimuli/objects/074a.jpg,object,2,stimuli/scenes/102a.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,stimuli/scenes/102a.jpg,stimuli/scenes/102b.jpg,dist2,dist1,target,lure,0,0,0,1,0,52,52,32,,,,,,,230.00439449993428,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,231.0297909999499,,,j,target,None,231.0297909999499,2.0112223000032827,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,LEVÉL UTCA,stimuli/scenes/019a.jpg,scene,0,stimuli/scenes/019a.jpg,stimuli/objects/052a.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/objects/052b.jpg,dist1,target,lure,dist2,0,0,0,1,0,53,53,8,,,,,,,233.070274699945,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,234.07902089995332,,,f,target,None,234.07902089995332,3.1118412000359967,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZALVÉTA UTCA,stimuli/objects/072a.jpg,object,0,stimuli/objects/072a.jpg,stimuli/scenes/045b.jpg,stimuli/scenes/045a.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,dist2,dist1,lure,target,0,0,0,1,0,54,54,54,,,,,,,237.22039449994918,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,238.23984699998982,,,k,target,None,238.23984699998982,2.4178409000160173,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KÁRTYA UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/objects/008a.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,stimuli/objects/008b.jpg,dist1,lure,target,dist2,0,0,0,1,0,55,55,64,,,,,,,240.68713610002305,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,241.71053689997643,,,j,target,None,241.71053689997643,2.456642000004649,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ZÁSZLÓ UTCA,stimuli/scenes/103a.jpg,scene,2,stimuli/objects/037a.jpg,stimuli/scenes/102b.jpg,stimuli/objects/037b.jpg,stimuli/scenes/102a.jpg,stimuli/objects/037a.jpg,dist2,lure,dist1,target,0,0,0,1,0,56,56,60,,,,,,,244.18694869999308,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,245.21627650002483,,,k,target,None,245.21627650002483,1.7725219000130892,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KUTYA UTCA,stimuli/scenes/030a.jpg,scene,0,stimuli/scenes/030a.jpg,stimuli/scenes/030b.jpg,stimuli/scenes/052b.jpg,stimuli/scenes/052a.jpg,stimuli/scenes/030a.jpg,lure,dist2,dist1,target,0,0,0,1,0,57,57,35,,,,,,,247.02065600000788,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,248.03190279996488,,,k,target,None,248.03190279996488,1.9065487999469042,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,FÜGE UTCA,stimuli/scenes/115a.jpg,scene,0,stimuli/scenes/115a.jpg,stimuli/scenes/115b.jpg,stimuli/scenes/115a.jpg,stimuli/objects/084b.jpg,stimuli/objects/084a.jpg,lure,target,dist2,dist1,0,0,0,1,0,58,58,47,,,,,,,249.95379830000456,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,250.96716869994998,,,f,target,None,250.96716869994998,2.357911399914883,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ASZTAL UTCA,stimuli/scenes/120a.jpg,scene,2,stimuli/objects/035a.jpg,stimuli/scenes/079b.jpg,stimuli/scenes/079a.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,dist2,dist1,lure,target,0,0,0,1,0,59,59,24,,,,,,,253.35394419997465,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,254.38094910001382,,,f,dist1,None,254.38094910001382,3.2911547999829054,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SALÁTA UTCA,stimuli/objects/008a.jpg,object,0,stimuli/objects/008a.jpg,stimuli/scenes/099b.jpg,stimuli/objects/008b.jpg,stimuli/objects/008a.jpg,stimuli/scenes/099a.jpg,dist2,lure,target,dist1,0,0,0,1,0,60,60,73,,,,,,,257.7038221999537,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,258.7186666999478,,,j,target,None,258.7186666999478,2.662343999953009,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TÁSKA UTCA,stimuli/objects/110a.jpg,object,2,stimuli/scenes/079a.jpg,stimuli/scenes/079a.jpg,stimuli/objects/037b.jpg,stimuli/objects/037a.jpg,stimuli/scenes/079b.jpg,target,dist2,dist1,lure,0,0,0,1,0,61,61,33,,,,,,,261.40346669999417,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,262.428096299991,265.9040740999626,,j,dist1,None,262.428096299991,3.7915458999341354,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
