CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,fx_cross_prediction.started,fx_cross_prediction.stopped,plate_updating.started,plate_updating.stopped,city_text_updating.started,city_text_updating.stopped,street_text_updating.started,street_text_updating.stopped,updating_image.started,updating_image.stopped,fx_cross.started,fx_cross.stopped,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZEKRÉNY,stimuli/objects/012a.jpg,object,0,stimuli/objects/012a.jpg,stimuli/objects/012a.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/048b.jpg,stimuli/objects/012b.jpg,target,dist1,dist2,lure,0,0,0,0,0,20,20,53,,,,,172.66352010937408,None,172.66352010937408,None,172.66352010937408,None,172.66352010937408,None,175.664546742104,None,175.664546742104,None,175.664546742104,None,175.664546742104,None,178.6457858919166,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,MÁLNA,stimuli/objects/082a.jpg,object,1,stimuli/objects/083a.jpg,stimuli/objects/083b.jpg,stimuli/objects/083a.jpg,stimuli/objects/089b.jpg,stimuli/objects/089a.jpg,lure,target,dist2,dist1,0,0,0,0,0,21,21,27,,,,,179.6646838961169,None,179.6646838961169,None,179.6646838961169,None,179.6646838961169,None,182.68103226833045,None,182.68103226833045,None,182.68103226833045,None,182.68103226833045,None,185.65724492957816,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KÖRTE,stimuli/scenes/040a.jpg,scene,0,stimuli/scenes/040a.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/objects/002a.jpg,stimuli/objects/002b.jpg,target,lure,dist1,dist2,0,0,0,0,0,22,22,37,,,,,186.66741049056873,None,186.66741049056873,None,186.66741049056873,None,186.66741049056873,None,189.66556870983914,None,189.66556870983914,None,189.66556870983914,None,189.66556870983914,None,192.64557129750028,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,LIMONÁDÉ,stimuli/scenes/049a.jpg,scene,0,stimuli/scenes/049a.jpg,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/049b.jpg,dist1,dist2,target,lure,0,0,0,0,0,23,23,34,,,,,193.66242132289335,None,193.66242132289335,None,193.66242132289335,None,193.66242132289335,None,196.66332946252078,None,196.66332946252078,None,196.66332946252078,None,196.66332946252078,None,199.65628267498687,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KOKTÉL,stimuli/scenes/026a.jpg,scene,2,stimuli/objects/099a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/099a.jpg,stimuli/scenes/079a.jpg,stimuli/objects/099b.jpg,dist2,target,dist1,lure,0,0,0,0,0,24,24,29,,,,,200.6686346125789,None,200.6686346125789,None,200.6686346125789,None,200.6686346125789,None,203.691706947051,None,203.691706947051,None,203.691706947051,None,203.691706947051,None,206.66107062157243,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,PIZSAMA,stimuli/objects/071a.jpg,object,0,stimuli/objects/071a.jpg,stimuli/scenes/036b.jpg,stimuli/objects/071a.jpg,stimuli/scenes/036a.jpg,stimuli/objects/071b.jpg,dist2,target,dist1,lure,0,0,0,0,0,25,25,9,,,,,207.66166308894753,None,207.66166308894753,None,207.66166308894753,None,207.66166308894753,None,210.66335994098336,None,210.66335994098336,None,210.66335994098336,None,210.66335994098336,None,213.6477738460526,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZIKLA,stimuli/objects/087a.jpg,object,0,stimuli/objects/087a.jpg,stimuli/scenes/031a.jpg,stimuli/objects/087a.jpg,stimuli/scenes/031b.jpg,stimuli/objects/087b.jpg,dist1,target,dist2,lure,0,0,0,0,0,26,26,31,,,,,214.66478248499334,None,214.66478248499334,None,214.66478248499334,None,214.66478248499334,None,217.66546701081097,None,217.66546701081097,None,217.66546701081097,None,217.66546701081097,None,220.64927600789815,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KECSKE,stimuli/scenes/054a.jpg,scene,1,stimuli/scenes/064a.jpg,stimuli/objects/047b.jpg,stimuli/objects/047a.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/064b.jpg,dist2,dist1,target,lure,0,0,0,0,0,27,27,39,,,,,221.6677563302219,None,221.6677563302219,None,221.6677563302219,None,221.6677563302219,None,224.6577748847194,None,224.6577748847194,None,224.6577748847194,None,224.6577748847194,None,227.64518191711977,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TÁNYÉR,stimuli/scenes/039a.jpg,scene,0,stimuli/scenes/039a.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/039b.jpg,stimuli/scenes/039a.jpg,dist1,dist2,lure,target,0,0,0,0,0,28,28,15,,,,,228.66286481870338,None,228.66286481870338,None,228.66286481870338,None,228.66286481870338,None,231.6602660473436,None,231.6602660473436,None,231.6602660473436,None,231.6602660473436,None,234.645154859405,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,BÖGRE,stimuli/scenes/002a.jpg,scene,1,stimuli/scenes/075a.jpg,stimuli/scenes/023a.jpg,stimuli/scenes/075a.jpg,stimuli/scenes/023b.jpg,stimuli/scenes/075b.jpg,dist1,target,dist2,lure,0,0,0,0,0,29,29,7,,,,,235.66266950638965,None,235.66266950638965,None,235.66266950638965,None,235.66266950638965,None,238.67108067963272,None,238.67108067963272,None,238.67108067963272,None,238.67108067963272,None,241.64756671572104,None,,,,,,,pilot,2022_Jun_14_1555,Hippopolis_Updating,2021.1.2,59.98716424132408,
