CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image_2.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,text_countdown.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_vid_key.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,SZALVÉTA UTCA,stimuli/scenes/035a.jpg,scene,1,stimuli/scenes/099a.jpg,stimuli/objects/059b.jpg,stimuli/scenes/099a.jpg,stimuli/scenes/099b.jpg,stimuli/objects/059a.jpg,dist2,target,lure,dist1,1,0,2,0,0,31,31,56,,,,,,,,,,,,,,,,,,1367.34911711514,1368.37306429632,1368.37306429632,1368.37306429632,1368.37306429632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,PÁLMAFA UTCA,stimuli/objects/039a.jpg,object,1,stimuli/objects/082a.jpg,stimuli/objects/082a.jpg,stimuli/objects/082b.jpg,stimuli/objects/075b.jpg,stimuli/objects/075a.jpg,target,lure,dist2,dist1,1,0,2,0,0,32,32,11,,,,,,,,,,,,,,,,,,1371.3531188331544,1372.3859797697514,1372.3859797697514,1372.3859797697514,1372.3859797697514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,LÁNDZSA UTCA,stimuli/scenes/011a.jpg,scene,2,stimuli/objects/064a.jpg,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,stimuli/objects/042b.jpg,stimuli/objects/042a.jpg,target,lure,dist2,dist1,1,0,2,0,0,33,33,15,,,,,,,,,,,,,,,,,,1375.3607699014246,1376.395264243707,1376.395264243707,1376.395264243707,1376.395264243707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TULIPÁN UTCA,stimuli/scenes/094a.jpg,scene,0,stimuli/scenes/094a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/094b.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/094a.jpg,dist1,lure,dist2,target,1,0,2,0,0,34,34,62,,,,,,,,,,,,,,,,,,1379.3751128949225,1380.4150694403797,1380.4150694403797,1380.4150694403797,1380.4150694403797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FÉNYKÉP UTCA,stimuli/objects/072a.jpg,object,0,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,stimuli/scenes/061b.jpg,stimuli/scenes/061a.jpg,stimuli/objects/072a.jpg,lure,dist2,dist1,target,1,0,2,0,0,35,35,22,,,,,,,,,,,,,,,,,,1383.391480538994,1384.4366377349943,1384.4366377349943,1384.4366377349943,1384.4366377349943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,MÁRVÁNY UTCA,stimuli/scenes/100a.jpg,scene,0,stimuli/scenes/100a.jpg,stimuli/objects/025a.jpg,stimuli/scenes/100a.jpg,stimuli/scenes/100b.jpg,stimuli/objects/025b.jpg,dist1,target,lure,dist2,1,0,2,0,0,36,36,24,,,,,,,,,,,,,,,,,,1387.4029781352729,1388.4272795524448,1388.4272795524448,1388.4272795524448,1388.4272795524448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,RIBIZLI UTCA,stimuli/objects/118a.jpg,object,2,stimuli/scenes/023a.jpg,stimuli/scenes/023a.jpg,stimuli/objects/008b.jpg,stimuli/scenes/023b.jpg,stimuli/objects/008a.jpg,target,dist2,lure,dist1,1,0,2,0,0,37,37,79,,,,,,,,,,,,,,,,,,1391.4125241655856,1392.451312880963,1392.451312880963,1392.451312880963,1392.451312880963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,LÉTRA UTCA,stimuli/objects/048a.jpg,object,1,stimuli/objects/005a.jpg,stimuli/scenes/039b.jpg,stimuli/objects/005b.jpg,stimuli/scenes/039a.jpg,stimuli/objects/005a.jpg,dist2,lure,dist1,target,1,0,2,0,0,38,38,7,,,,,,,,,,,,,,,,,,1395.4280387181789,1396.4674817938358,1396.4674817938358,1396.4674817938358,1396.4674817938358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,LIGET UTCA,stimuli/scenes/063a.jpg,scene,2,stimuli/objects/108a.jpg,stimuli/scenes/008a.jpg,stimuli/objects/108b.jpg,stimuli/objects/108a.jpg,stimuli/scenes/008b.jpg,dist1,lure,target,dist2,1,0,2,0,0,39,39,21,,,,,,,,,,,,,,,,,,1399.4297567177564,1400.460762500763,1400.460762500763,1400.460762500763,1400.460762500763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ÁRNYÉK UTCA,stimuli/objects/035a.jpg,object,1,stimuli/objects/059a.jpg,stimuli/objects/059a.jpg,stimuli/scenes/078b.jpg,stimuli/objects/059b.jpg,stimuli/scenes/078a.jpg,target,dist2,lure,dist1,1,0,2,0,0,40,40,29,,,,,,,,,,,,,,,,,,1403.4373788628727,1404.4800424091518,1404.4800424091518,1404.4800424091518,1404.4800424091518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
