CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,KÖNYVTÁR UTCA,stimuli/scenes/065a.jpg,scene,0,stimuli/scenes/065a.jpg,stimuli/scenes/065b.jpg,stimuli/scenes/118b.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/118a.jpg,lure,dist2,target,dist1,0,0,0,0,0,45,45,34,,,,,,,331.4994090888649,332.52821325697005,332.52821325697005,332.52821325697005,332.52821325697005,335.51841406710446,335.51841406710446,335.51841406710446,335.51841406710446,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,BAGOLY UTCA,stimuli/objects/013a.jpg,object,1,stimuli/objects/120a.jpg,stimuli/objects/068b.jpg,stimuli/objects/120a.jpg,stimuli/objects/068a.jpg,stimuli/objects/120b.jpg,dist2,target,dist1,lure,0,0,0,0,0,46,46,26,,,,,,,337.5056450776756,338.5263677444309,338.5263677444309,338.5263677444309,338.5263677444309,341.5449500642717,341.5449500642717,341.5449500642717,341.5449500642717,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FIÓK UTCA,stimuli/scenes/110a.jpg,scene,1,stimuli/scenes/078a.jpg,stimuli/objects/070b.jpg,stimuli/scenes/078b.jpg,stimuli/scenes/078a.jpg,stimuli/objects/070a.jpg,dist2,lure,target,dist1,0,0,0,0,0,47,47,47,,,,,,,343.52329189144075,344.540422745049,344.540422745049,344.540422745049,344.540422745049,347.54946338944137,347.54946338944137,347.54946338944137,347.54946338944137,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,GYŰRŰ UTCA,stimuli/objects/019a.jpg,object,2,stimuli/scenes/074a.jpg,stimuli/scenes/074a.jpg,stimuli/objects/086b.jpg,stimuli/scenes/074b.jpg,stimuli/objects/086a.jpg,target,dist2,lure,dist1,0,0,0,0,0,48,48,78,,,,,,,349.53034240566194,350.5619328804314,350.5619328804314,350.5619328804314,350.5619328804314,353.54836678132415,353.54836678132415,353.54836678132415,353.54836678132415,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ECSET UTCA,stimuli/objects/025a.jpg,object,0,stimuli/objects/025a.jpg,stimuli/objects/025b.jpg,stimuli/scenes/052b.jpg,stimuli/objects/025a.jpg,stimuli/scenes/052a.jpg,lure,dist2,target,dist1,0,0,0,0,0,49,49,8,,,,,,,355.5351825989783,356.5574531443417,356.5574531443417,356.5574531443417,356.5574531443417,359.57129230722785,359.57129230722785,359.57129230722785,359.57129230722785,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,HEGEDŰ UTCA,stimuli/objects/085a.jpg,object,0,stimuli/objects/085a.jpg,stimuli/scenes/021a.jpg,stimuli/objects/085a.jpg,stimuli/scenes/021b.jpg,stimuli/objects/085b.jpg,dist1,target,dist2,lure,0,0,0,0,0,50,50,46,,,,,,,361.54869396053255,362.5736096147448,362.5736096147448,362.5736096147448,362.5736096147448,365.5776598509401,365.5776598509401,365.5776598509401,365.5776598509401,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,HÁRFA UTCA,stimuli/scenes/037a.jpg,scene,0,stimuli/scenes/037a.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,target,lure,dist1,dist2,0,0,0,0,0,51,51,16,,,,,,,367.55236663483083,368.57238393835723,368.57238393835723,368.57238393835723,368.57238393835723,371.58161585219204,371.58161585219204,371.58161585219204,371.58161585219204,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FÉNYKÉP UTCA,stimuli/objects/072a.jpg,object,0,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,stimuli/scenes/061b.jpg,stimuli/scenes/061a.jpg,stimuli/objects/072a.jpg,lure,dist2,dist1,target,0,0,0,0,0,52,52,22,,,,,,,373.557138716802,374.5737532991916,374.5737532991916,374.5737532991916,374.5737532991916,377.5840392149985,377.5840392149985,377.5840392149985,377.5840392149985,None,374.5737532991916,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FÉSZEK UTCA,stimuli/scenes/014a.jpg,scene,0,stimuli/scenes/014a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/023b.jpg,stimuli/objects/023a.jpg,stimuli/scenes/014a.jpg,lure,dist2,dist1,target,0,0,0,0,0,53,53,17,,,,,,,379.56449432857335,380.5825684648007,380.5825684648007,380.5825684648007,380.5825684648007,383.58171568624675,383.58171568624675,383.58171568624675,383.58171568624675,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FÜZET UTCA,stimuli/objects/071a.jpg,object,2,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/009a.jpg,stimuli/scenes/074a.jpg,lure,dist2,target,dist1,0,0,0,0,0,54,54,64,,,,,,,385.5687949247658,386.59330813772976,386.59330813772976,386.59330813772976,386.59330813772976,389.59622631035745,389.59622631035745,389.59622631035745,389.59622631035745,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
