CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KESZTYŰ UTCA,stimuli/objects/103a.jpg,object,2,stimuli/scenes/041a.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,stimuli/scenes/041b.jpg,target,dist2,dist1,lure,1,0,2,0,0,68,68,7,,,,,,,,,,,1773.9495544526726,1774.9803447071463,1774.9803447071463,1774.9803447071463,1774.9803447071463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TÁSKA UTCA,stimuli/scenes/100a.jpg,scene,0,stimuli/scenes/100a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/100a.jpg,stimuli/objects/038a.jpg,stimuli/scenes/100b.jpg,dist2,target,dist1,lure,1,0,2,0,0,69,69,56,,,,,,,,,,,1777.9580299984664,1778.98482288979,1778.98482288979,1778.98482288979,1778.98482288979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KORONA UTCA,stimuli/scenes/080a.jpg,scene,0,stimuli/scenes/080a.jpg,stimuli/scenes/012a.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,dist1,dist2,target,lure,1,0,2,0,0,70,70,36,,,,,,,,,,,1781.961287168786,1782.9792446792126,1782.9792446792126,1782.9792446792126,1782.9792446792126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,CITROM UTCA,stimuli/objects/038a.jpg,object,0,stimuli/objects/038a.jpg,stimuli/objects/059b.jpg,stimuli/objects/059a.jpg,stimuli/objects/038b.jpg,stimuli/objects/038a.jpg,dist2,dist1,lure,target,1,0,2,0,0,71,71,23,,,,,,,,,,,1785.9700640812516,1786.985974546522,1786.985974546522,1786.985974546522,1786.985974546522,None,1786.985974546522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,NARANCS UTCA,stimuli/objects/042a.jpg,object,0,stimuli/objects/042a.jpg,stimuli/scenes/085b.jpg,stimuli/scenes/085a.jpg,stimuli/objects/042b.jpg,stimuli/objects/042a.jpg,dist2,dist1,lure,target,1,0,2,0,0,72,72,26,,,,,,,,,,,1789.9841682203114,1791.002564869821,1791.002564869821,1791.002564869821,1791.002564869821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KÖNYVTÁR UTCA,stimuli/objects/099a.jpg,object,0,stimuli/objects/099a.jpg,stimuli/objects/099a.jpg,stimuli/objects/026a.jpg,stimuli/objects/026b.jpg,stimuli/objects/099b.jpg,target,dist1,dist2,lure,1,0,2,0,0,73,73,52,,,,,,,,,,,1793.990744451061,1795.017426310107,1795.017426310107,1795.017426310107,1795.017426310107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,FOGAS UTCA,stimuli/scenes/113a.jpg,scene,0,stimuli/scenes/113a.jpg,stimuli/objects/010a.jpg,stimuli/objects/010b.jpg,stimuli/scenes/113b.jpg,stimuli/scenes/113a.jpg,dist1,dist2,lure,target,1,0,2,0,0,74,74,69,,,,,,,,,,,1798.0017643403262,1799.0362095423043,1799.0362095423043,1799.0362095423043,1799.0362095423043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,FÉSŰ UTCA,stimuli/scenes/001a.jpg,scene,2,stimuli/objects/015a.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/041b.jpg,stimuli/objects/015a.jpg,stimuli/objects/015b.jpg,dist1,dist2,target,lure,1,0,2,0,0,75,75,57,,,,,,,,,,,1802.007790710777,1803.0342041719705,1803.0342041719705,1803.0342041719705,1803.0342041719705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TOLLTARTÓ UTCA,stimuli/objects/003a.jpg,object,0,stimuli/objects/003a.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,dist1,dist2,lure,target,1,0,2,0,0,76,76,65,,,,,,,,,,,1806.0094713903964,1807.0292619708925,1807.0292619708925,1807.0292619708925,1807.0292619708925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KRÉTA UTCA,stimuli/scenes/066a.jpg,scene,0,stimuli/scenes/066a.jpg,stimuli/objects/094a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/094b.jpg,stimuli/scenes/066a.jpg,dist1,lure,dist2,target,1,0,2,0,0,77,77,22,,,,,,,,,,,1810.0110354404896,1811.0285600293428,1811.0285600293428,1811.0285600293428,1811.0285600293428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
