Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,clock0.started,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
FÜGE UTCA,stimuli/scenes/080a.jpg,scene,right,Hippopolis,0,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/069a.jpg,lure,target,dist2,dist1,0,19,19,49,,,,,98.24366946518421,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,99.29707392863929,f,1.537387229502201,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TOBOZ UTCA,stimuli/scenes/030a.jpg,scene,right,Hippopolis,2,stimuli/objects/061a.jpg,stimuli/objects/061b.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,stimuli/objects/061a.jpg,lure,dist2,dist1,target,0,20,20,34,,,,,100.86050865799189,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,101.9673819616437,d,2.4187519755214453,lure,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KESZTYŰ UTCA,stimuli/objects/074a.jpg,object,left,Camponello,2,stimuli/scenes/024a.jpg,stimuli/scenes/024a.jpg,stimuli/objects/072b.jpg,stimuli/scenes/024b.jpg,stimuli/objects/072a.jpg,target,dist2,lure,dist1,0,21,21,91,,,,,104.41906369663775,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,105.4856927730143,f,3.236490411683917,dist2,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TISZTÁS UTCA,stimuli/objects/054a.jpg,object,left,Camponello,0,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/objects/115a.jpg,stimuli/objects/054a.jpg,stimuli/objects/115b.jpg,lure,dist1,target,dist2,0,22,22,102,,,,,108.74521547742188,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,109.79360993951559,j,2.6888936813920736,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
ECSET UTCA,stimuli/objects/067a.jpg,object,left,Hippopolis,1,stimuli/objects/009a.jpg,stimuli/scenes/073a.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/scenes/073b.jpg,dist1,target,lure,dist2,0,23,23,62,,,,,112.5082087032497,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,113.56667261756957,j,3.059617344290018,lure,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
CUKOR UTCA,stimuli/objects/097a.jpg,object,left,Hippopolis,2,stimuli/scenes/003a.jpg,stimuli/scenes/003a.jpg,stimuli/objects/060a.jpg,stimuli/scenes/003b.jpg,stimuli/objects/060b.jpg,target,dist1,lure,dist2,0,24,24,14,,,,,116.64358449913561,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,117.71335722692311,f,2.976747203618288,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
DOMINÓ UTCA,stimuli/objects/108a.jpg,object,left,Camponello,0,stimuli/objects/108a.jpg,stimuli/objects/070a.jpg,stimuli/objects/108b.jpg,stimuli/objects/070b.jpg,stimuli/objects/108a.jpg,dist1,lure,dist2,target,0,25,25,124,,,,,120.71007082238793,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,121.74720840714872,k,3.2792603205889463,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TULIPÁN UTCA,stimuli/scenes/119a.jpg,scene,right,Camponello,0,stimuli/scenes/119a.jpg,stimuli/scenes/119b.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,stimuli/scenes/119a.jpg,lure,dist2,dist1,target,0,26,26,98,,,,,125.060343015939,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,126.11848379485309,k,2.5553522016853094,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KOKTÉL UTCA,stimuli/objects/109a.jpg,object,left,Hippopolis,2,stimuli/scenes/016a.jpg,stimuli/scenes/016a.jpg,stimuli/scenes/016b.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,target,lure,dist2,dist1,0,27,27,46,,,,,128.693217696622,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,129.73556650429964,j,1.8019056301563978,dist2,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KORONA UTCA,stimuli/objects/039a.jpg,object,left,Hippopolis,2,stimuli/scenes/047a.jpg,stimuli/objects/094a.jpg,stimuli/scenes/047a.jpg,stimuli/objects/094b.jpg,stimuli/scenes/047b.jpg,dist1,target,dist2,lure,0,28,28,33,,,,,131.55995581299067,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,132.59622537717223,j,2.349513554945588,dist2,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KESELYŰ UTCA,stimuli/scenes/053a.jpg,scene,right,Camponello,0,stimuli/scenes/053a.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/053a.jpg,dist1,lure,dist2,target,0,29,29,110,,,,,134.97601083293557,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,136.0135082527995,d,2.9008488915860653,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
NARANCS UTCA,stimuli/scenes/109a.jpg,scene,right,Camponello,0,stimuli/scenes/109a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/109a.jpg,lure,dist2,dist1,target,0,30,30,120,,,,,138.94342887029052,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,140.01649484597147,k,2.225073054432869,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
MENTA UTCA,stimuli/objects/076a.jpg,object,left,Hippopolis,2,stimuli/scenes/031a.jpg,stimuli/scenes/031a.jpg,stimuli/scenes/081a.jpg,stimuli/scenes/081b.jpg,stimuli/scenes/031b.jpg,target,dist1,dist2,lure,0,31,31,60,,,,,142.27367442846298,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,143.31278752535582,f,2.737203547731042,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
SZOBOR UTCA,stimuli/scenes/010a.jpg,scene,right,Hippopolis,2,stimuli/objects/038a.jpg,stimuli/scenes/111a.jpg,stimuli/scenes/111b.jpg,stimuli/objects/038b.jpg,stimuli/objects/038a.jpg,dist1,dist2,lure,target,0,32,32,52,,,,,146.07656946219504,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,147.15173193253577,d,3.2501917984336615,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
