Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
TALICSKA UTCA,stimuli/scenes/088a.jpg,scene,right,Camponello,0,stimuli/scenes/088a.jpg,stimuli/scenes/095a.jpg,stimuli/scenes/095b.jpg,stimuli/scenes/088a.jpg,stimuli/scenes/088b.jpg,dist1,dist2,target,lure,0,35,35,89,,,,,167.71229824982584,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,168.75833559408784,,j,2.3302140794694424,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
HARCSA UTCA,stimuli/objects/051a.jpg,object,left,Camponello,0,stimuli/objects/051a.jpg,stimuli/scenes/001b.jpg,stimuli/scenes/001a.jpg,stimuli/objects/051a.jpg,stimuli/objects/051b.jpg,dist2,dist1,target,lure,0,36,36,90,,,,,171.11255663447082,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,172.15298373438418,,j,2.6639018561691046,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ZÁSZLÓ UTCA,stimuli/objects/005a.jpg,object,left,Hippopolis,1,stimuli/objects/013a.jpg,stimuli/objects/071b.jpg,stimuli/objects/013a.jpg,stimuli/objects/013b.jpg,stimuli/objects/071a.jpg,dist2,target,lure,dist1,0,37,37,70,,,,,174.84656095318496,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,175.91523583047092,179.3459006883204,f,3.765359604731202,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
BÚJÓCSKA UTCA,stimuli/objects/109a.jpg,object,left,Camponello,1,stimuli/objects/052a.jpg,stimuli/objects/052b.jpg,stimuli/objects/052a.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,lure,target,dist1,dist2,0,38,38,141,,,,,179.69818913377821,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,180.75296046957374,,d,2.8001770824193954,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
FÉSŰ UTCA,stimuli/scenes/114a.jpg,scene,right,Hippopolis,0,stimuli/scenes/114a.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/114a.jpg,dist1,dist2,lure,target,0,39,39,12,,,,,183.58011618070304,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,184.6541724000126,,k,2.9941122699528933,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
PÁLMAFA UTCA,stimuli/objects/080a.jpg,object,left,Hippopolis,2,stimuli/scenes/009a.jpg,stimuli/objects/098a.jpg,stimuli/objects/098b.jpg,stimuli/scenes/009b.jpg,stimuli/scenes/009a.jpg,dist1,dist2,lure,target,0,40,40,56,,,,,187.6720005311072,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,188.7007941249758,,k,2.899267140775919,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
LEGELŐ UTCA,stimuli/objects/037a.jpg,object,left,Camponello,0,stimuli/objects/037a.jpg,stimuli/objects/037b.jpg,stimuli/scenes/021a.jpg,stimuli/objects/037a.jpg,stimuli/scenes/021b.jpg,lure,dist1,target,dist2,0,41,41,123,,,,,191.62846523337066,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,192.65346610546112,,j,2.6907308232039213,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SÜTEMÉNY UTCA,stimuli/objects/117a.jpg,object,left,Hippopolis,1,stimuli/objects/008a.jpg,stimuli/objects/008a.jpg,stimuli/objects/115a.jpg,stimuli/objects/115b.jpg,stimuli/objects/008b.jpg,target,dist1,dist2,lure,0,42,42,14,,,,,195.36203134432435,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,196.40901197120547,,f,2.759658547118306,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TÁSKA UTCA,stimuli/scenes/083a.jpg,scene,right,Camponello,0,stimuli/scenes/083a.jpg,stimuli/objects/119a.jpg,stimuli/scenes/083b.jpg,stimuli/scenes/083a.jpg,stimuli/objects/119b.jpg,dist1,lure,target,dist2,0,43,43,96,,,,,199.19516584090889,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,200.23368211649358,,j,3.3665859661996365,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
POLIP UTCA,stimuli/scenes/090a.jpg,scene,right,Hippopolis,0,stimuli/scenes/090a.jpg,stimuli/objects/024a.jpg,stimuli/scenes/090b.jpg,stimuli/scenes/090a.jpg,stimuli/objects/024b.jpg,dist1,lure,target,dist2,0,44,44,10,,,,,203.63349265232682,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,204.66533752903342,208.1372782215476,j,3.7025913633406162,target,space,,208.38641486875713,208.38641486875713,5.790032675489783,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
