CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,CSAVAR UTCA,stimuli/scenes/075a.jpg,scene,1,stimuli/scenes/084a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,dist2,dist1,lure,target,0,0,0,0,0,19,19,15,,,,,,,102.45460053160787,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,103.49932822585106,,k,2.606063075363636,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,FÉSŰ UTCA,stimuli/scenes/021a.jpg,scene,0,stimuli/scenes/021a.jpg,stimuli/scenes/021b.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/021a.jpg,lure,dist1,dist2,target,0,0,0,0,0,20,20,46,,,,,,,106.14243315346539,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,107.2236947696656,,k,3.249787215143442,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LAKAT UTCA,stimuli/objects/120a.jpg,object,0,stimuli/objects/120a.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/064b.jpg,stimuli/objects/120b.jpg,stimuli/objects/120a.jpg,dist1,dist2,lure,target,0,0,0,0,0,21,21,59,,,,,,,110.51872445084155,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,111.58450447954237,,k,2.744934272021055,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PETÁRDA UTCA,stimuli/scenes/050a.jpg,scene,0,stimuli/scenes/050a.jpg,stimuli/scenes/050a.jpg,stimuli/objects/022a.jpg,stimuli/scenes/050b.jpg,stimuli/objects/022b.jpg,target,dist1,lure,dist2,0,0,0,0,0,22,22,20,,,,,,,114.36087502352893,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,115.41103755496442,,d,2.391001533716917,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LÉTRA UTCA,stimuli/objects/012a.jpg,object,1,stimuli/objects/049a.jpg,stimuli/objects/049a.jpg,stimuli/objects/049b.jpg,stimuli/objects/109b.jpg,stimuli/objects/109a.jpg,target,lure,dist2,dist1,0,0,0,0,0,23,23,30,,,,,,,117.83739808388054,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,118.92236471921206,122.346425043419,j,4.719633279368281,dist2,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MAJOM UTCA,stimuli/objects/083a.jpg,object,0,stimuli/objects/083a.jpg,stimuli/objects/083b.jpg,stimuli/scenes/002b.jpg,stimuli/scenes/002a.jpg,stimuli/objects/083a.jpg,lure,dist2,dist1,target,0,0,0,0,0,24,24,29,,,,,,,123.66699923574924,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,124.75639833509922,,k,2.485274413600564,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,HERNYÓ UTCA,stimuli/objects/057a.jpg,object,0,stimuli/objects/057a.jpg,stimuli/objects/061a.jpg,stimuli/objects/057b.jpg,stimuli/objects/057a.jpg,stimuli/objects/061b.jpg,dist1,lure,target,dist2,0,0,0,0,0,25,25,40,,,,,,,127.28176215104759,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,128.3443668037653,131.7800960894674,j,3.824847364798188,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KUTYA UTCA,stimuli/scenes/089a.jpg,scene,1,stimuli/scenes/108a.jpg,stimuli/scenes/108a.jpg,stimuli/objects/027a.jpg,stimuli/objects/027b.jpg,stimuli/scenes/108b.jpg,target,dist1,dist2,lure,0,0,0,0,0,26,26,0,,,,,,,132.1903188060969,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,133.2672592997551,,d,3.2698066979646683,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,FOGAS UTCA,stimuli/scenes/118a.jpg,scene,0,stimuli/scenes/118a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/118b.jpg,stimuli/scenes/118a.jpg,stimuli/scenes/007a.jpg,dist2,lure,target,dist1,0,0,0,0,0,27,27,35,,,,,,,136.5590815730393,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,137.6369976941496,,j,3.0445845760405064,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,REPÜLŐ UTCA,stimuli/objects/022a.jpg,object,0,stimuli/objects/022a.jpg,stimuli/objects/022a.jpg,stimuli/scenes/050a.jpg,stimuli/objects/022b.jpg,stimuli/scenes/050b.jpg,target,dist1,lure,dist2,0,0,0,0,0,28,28,61,,,,,,,140.71723827533424,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,141.7717250417918,,d,2.7013134490698576,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
