CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,learning_image.started,learning_image.stopped,fx_cross.started,fx_cross.stopped,test_text.started,test_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,plate_test.started,plate_test.stopped,city_text_test.started,city_text_test.stopped,street_text_test.started,street_text_test.stopped,test_question.started,test_question.stopped,test_key_resp.keys,test_key_resp.rt,test_key_resp.started,test_key_resp.stopped,button_image.started,button_image.stopped,plate_verbal.started,plate_verbal.stopped,street_text_verbal.started,street_text_verbal.stopped,city_text_verbal.started,city_text_verbal.stopped,question_verbal.started,question_verbal.stopped,verbal_test_key_resp.keys,verbal_test_key_resp.started,verbal_test_key_resp.stopped,verbal_test_key_resp.rt,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,participant,date,expName,psychopyVersion,frameRate
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BÚJÓCSKA,stimuli/objects/007a.jpg,object,0,stimuli/objects/007a.jpg,stimuli/objects/018b.jpg,stimuli/objects/007a.jpg,stimuli/objects/007b.jpg,stimuli/objects/018a.jpg,dist2,target,lure,dist1,1,1,3,1,,,,,0,3,3,48,,,,,,,,,,,,,2020.462751,None,,,,,,,2011.782951,None,2011.782951,None,2011.782951,None,2011.782951,None,right,1.213957602,2011.782951,None,2011.782951,None,2013.039376,None,2013.039376,None,2013.039376,None,2013.039376,None,space,2013.039376,None,7.381037182,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,NARANCS,stimuli/scenes/016a.jpg,scene,0,stimuli/scenes/016a.jpg,stimuli/scenes/016b.jpg,stimuli/scenes/013a.jpg,stimuli/scenes/016a.jpg,stimuli/scenes/013b.jpg,lure,dist1,target,dist2,1,1,3,1,,,,,0,4,4,32,,,,,,,,,,,,,2029.817691,None,,,,,,,2021.480323,None,2021.480323,None,2021.480323,None,2021.480323,None,right,1.132061171,2021.480323,None,2021.480323,None,2022.664164,None,2022.664164,None,2022.664164,None,2022.664164,None,space,2022.664164,None,7.116591393,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÓKUSZ,stimuli/objects/073a.jpg,object,0,stimuli/objects/073a.jpg,stimuli/scenes/044a.jpg,stimuli/objects/073a.jpg,stimuli/objects/073b.jpg,stimuli/scenes/044b.jpg,dist1,target,lure,dist2,1,1,3,1,,,,,0,5,5,27,,,,,,,,,,,,,2033.892993,None,,,,,,,2030.834489,None,2030.834489,None,2030.834489,None,2030.834489,None,right,0.882268457,2030.834489,None,2030.834489,None,2031.758718,None,2031.758718,None,2031.758718,None,2031.758718,None,space,2031.758718,None,2.101679249,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZAXOFON,stimuli/objects/058a.jpg,object,0,stimuli/objects/058a.jpg,stimuli/objects/058b.jpg,stimuli/objects/058a.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/038a.jpg,lure,target,dist2,dist1,1,1,3,1,,,,,0,6,6,52,,,,,,,,,,,,,2035.893073,None,,,,,,,2034.912316,None,2034.912316,None,2034.912316,None,2034.912316,None,right,0.948165777,2034.912316,None,2034.912316,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZILVA,stimuli/scenes/021a.jpg,scene,1,stimuli/scenes/061a.jpg,stimuli/objects/051b.jpg,stimuli/scenes/061b.jpg,stimuli/scenes/061a.jpg,stimuli/objects/051a.jpg,dist2,lure,target,dist1,1,1,3,1,,,,,0,7,7,8,,,,,,,,,,,,,2039.511709,None,,,,,,,2036.915121,None,2036.915121,None,2036.915121,None,2036.915121,None,left,2.545177749,2036.915121,None,2036.915121,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KESELYŰ,stimuli/scenes/070a.jpg,scene,1,stimuli/scenes/072a.jpg,stimuli/objects/092b.jpg,stimuli/scenes/072a.jpg,stimuli/scenes/072b.jpg,stimuli/objects/092a.jpg,dist2,target,lure,dist1,1,1,3,1,,,,,0,8,8,46,,,,,,,,,,,,,2041.775304,None,,,,,,,2040.541567,None,2040.541567,None,2040.541567,None,2040.541567,None,right,1.190893043,2040.541567,None,2040.541567,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZÖCSKE,stimuli/objects/035a.jpg,object,2,stimuli/scenes/059a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/011b.jpg,dist1,lure,target,dist2,1,1,3,1,,,,,0,9,9,53,,,,,,,,,,,,,2044.578044,None,,,,,,,2042.796655,None,2042.796655,None,2042.796655,None,2042.796655,None,right,1.735596818,2042.796655,None,2042.796655,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RÁDIÓ,stimuli/objects/092a.jpg,object,0,stimuli/objects/092a.jpg,stimuli/objects/062b.jpg,stimuli/objects/092b.jpg,stimuli/objects/062a.jpg,stimuli/objects/092a.jpg,dist2,lure,dist1,target,1,1,3,1,,,,,0,10,10,6,,,,,,,,,,,,,2052.134206,None,,,,,,,2045.595803,None,2045.595803,None,2045.595803,None,2045.595803,None,right,1.784401216,2045.595803,None,2045.595803,None,2047.417445,None,2047.417445,None,2047.417445,None,2047.417445,None,space,2047.417445,None,4.698668208,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MÁRVÁNY,stimuli/objects/054a.jpg,object,0,stimuli/objects/054a.jpg,stimuli/scenes/020a.jpg,stimuli/objects/054b.jpg,stimuli/scenes/020b.jpg,stimuli/objects/054a.jpg,dist1,lure,dist2,target,1,1,3,1,,,,,0,11,11,33,,,,,,,,,,,,,2057.462488,None,,,,,,,2053.167134,None,2053.167134,None,2053.167134,None,2053.167134,None,right,1.07731095,2053.167134,None,2053.167134,None,2054.286581,None,2054.286581,None,2054.286581,None,2054.286581,None,space,2054.286581,None,3.14185197,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
Hippopolis,stimuli/subj_files/pilot_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,EGÉR,stimuli/scenes/055a.jpg,scene,2,stimuli/objects/051a.jpg,stimuli/scenes/086b.jpg,stimuli/scenes/086a.jpg,stimuli/objects/051b.jpg,stimuli/objects/051a.jpg,dist2,dist1,lure,target,1,1,3,1,,,,,0,12,12,43,,,,,,,,,,,,,2059.392963,None,,,,,,,2058.491305,None,2058.491305,None,2058.491305,None,2058.491305,None,right,0.856671371,2058.491305,None,2058.491305,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,pilot,2022_Jun_14_1511,Hippopolis_Learning,2021.1.2,59.52981434
