Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
LEGELŐ UTCA,stimuli/objects/067a.jpg,object,left,Hippopolis,0,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,stimuli/scenes/085b.jpg,stimuli/scenes/085a.jpg,stimuli/objects/067a.jpg,lure,dist2,dist1,target
SZÖCSKE UTCA,stimuli/objects/023a.jpg,object,left,Hippopolis,1,stimuli/objects/066a.jpg,stimuli/objects/066b.jpg,stimuli/objects/066a.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,lure,target,dist1,dist2
HARCSA UTCA,stimuli/scenes/019a.jpg,scene,right,Hippopolis,1,stimuli/scenes/015a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/015a.jpg,stimuli/scenes/015b.jpg,stimuli/objects/068a.jpg,dist2,target,lure,dist1
KUTYA UTCA,stimuli/scenes/107a.jpg,scene,right,Hippopolis,2,stimuli/objects/081a.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/049a.jpg,stimuli/objects/081a.jpg,stimuli/objects/081b.jpg,dist2,dist1,target,lure
LAKAT UTCA,stimuli/scenes/004a.jpg,scene,right,Hippopolis,1,stimuli/scenes/112a.jpg,stimuli/scenes/042a.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/042b.jpg,stimuli/scenes/112a.jpg,dist1,lure,dist2,target
TÉRKÉP UTCA,stimuli/objects/077a.jpg,object,left,Hippopolis,1,stimuli/objects/005a.jpg,stimuli/scenes/080a.jpg,stimuli/objects/005b.jpg,stimuli/scenes/080b.jpg,stimuli/objects/005a.jpg,dist1,lure,dist2,target
FÓKA UTCA,stimuli/scenes/047a.jpg,scene,right,Hippopolis,1,stimuli/scenes/026a.jpg,stimuli/scenes/114a.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/026b.jpg,dist1,target,dist2,lure
MOSODA UTCA,stimuli/scenes/037a.jpg,scene,right,Hippopolis,2,stimuli/objects/060a.jpg,stimuli/objects/060a.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/011b.jpg,stimuli/objects/060b.jpg,target,dist1,dist2,lure
BOLYGÓ UTCA,stimuli/scenes/070a.jpg,scene,right,Hippopolis,0,stimuli/scenes/070a.jpg,stimuli/objects/057a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,stimuli/objects/057b.jpg,dist1,target,lure,dist2
KERÉK UTCA,stimuli/objects/102a.jpg,object,left,Hippopolis,0,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,stimuli/objects/102a.jpg,lure,dist1,dist2,target
KOKTÉL UTCA,stimuli/scenes/064a.jpg,scene,right,Hippopolis,0,stimuli/scenes/064a.jpg,stimuli/scenes/092b.jpg,stimuli/scenes/092a.jpg,stimuli/scenes/064b.jpg,stimuli/scenes/064a.jpg,dist2,dist1,lure,target
