Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
LEMEZ UTCA,stimuli/objects/030a.jpg,object,left,Hippopolis,0,stimuli/objects/030a.jpg,stimuli/scenes/014a.jpg,stimuli/objects/030a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/030b.jpg,dist1,target,dist2,lure
RÁDIÓ UTCA,stimuli/objects/115a.jpg,object,left,Hippopolis,2,stimuli/scenes/101a.jpg,stimuli/scenes/101b.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/060b.jpg,stimuli/scenes/101a.jpg,lure,dist1,dist2,target
FOGAS UTCA,stimuli/objects/015a.jpg,object,left,Hippopolis,2,stimuli/scenes/028a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/028b.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/028a.jpg,dist2,lure,dist1,target
TÁNYÉR UTCA,stimuli/scenes/068a.jpg,scene,right,Hippopolis,0,stimuli/scenes/068a.jpg,stimuli/scenes/068b.jpg,stimuli/scenes/068a.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,lure,target,dist2,dist1
AJÁNDÉK UTCA,stimuli/scenes/100a.jpg,scene,right,Hippopolis,1,stimuli/scenes/010a.jpg,stimuli/objects/044a.jpg,stimuli/objects/044b.jpg,stimuli/scenes/010a.jpg,stimuli/scenes/010b.jpg,dist1,dist2,target,lure
BOLYGÓ UTCA,stimuli/objects/091a.jpg,object,left,Hippopolis,1,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/objects/009a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/004a.jpg,lure,target,dist2,dist1
PULÓVER UTCA,stimuli/scenes/115a.jpg,scene,right,Hippopolis,1,stimuli/scenes/050a.jpg,stimuli/scenes/050a.jpg,stimuli/objects/041a.jpg,stimuli/scenes/050b.jpg,stimuli/objects/041b.jpg,target,dist1,lure,dist2
KERÉK UTCA,stimuli/scenes/007a.jpg,scene,right,Hippopolis,2,stimuli/objects/069a.jpg,stimuli/objects/069a.jpg,stimuli/objects/026b.jpg,stimuli/objects/069b.jpg,stimuli/objects/026a.jpg,target,dist2,lure,dist1
TELEFON UTCA,stimuli/scenes/075a.jpg,scene,right,Hippopolis,1,stimuli/scenes/004a.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/005b.jpg,stimuli/scenes/004a.jpg,dist1,lure,dist2,target
PAPRIKA UTCA,stimuli/scenes/032a.jpg,scene,right,Hippopolis,2,stimuli/objects/094a.jpg,stimuli/objects/042b.jpg,stimuli/objects/094a.jpg,stimuli/objects/042a.jpg,stimuli/objects/094b.jpg,dist2,target,dist1,lure
