Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
LEGELŐ UTCA,stimuli/scenes/013a.jpg,scene,right,Camponello,1,stimuli/scenes/051a.jpg,stimuli/scenes/051b.jpg,stimuli/scenes/051a.jpg,stimuli/objects/019a.jpg,stimuli/objects/019b.jpg,lure,target,dist1,dist2
BETON UTCA,stimuli/scenes/091a.jpg,scene,right,Camponello,0,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/119b.jpg,lure,dist1,target,dist2
KULLANCS UTCA,stimuli/scenes/065a.jpg,scene,right,Camponello,0,stimuli/scenes/065a.jpg,stimuli/scenes/065a.jpg,stimuli/objects/081a.jpg,stimuli/objects/081b.jpg,stimuli/scenes/065b.jpg,target,dist1,dist2,lure
TULIPÁN UTCA,stimuli/scenes/119a.jpg,scene,right,Camponello,0,stimuli/scenes/119a.jpg,stimuli/scenes/119b.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,stimuli/scenes/119a.jpg,lure,dist2,dist1,target
MANDARIN UTCA,stimuli/scenes/071a.jpg,scene,right,Camponello,0,stimuli/scenes/071a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/071b.jpg,dist2,target,dist1,lure
SÜTŐ UTCA,stimuli/objects/055a.jpg,object,left,Camponello,0,stimuli/objects/055a.jpg,stimuli/objects/088b.jpg,stimuli/objects/055a.jpg,stimuli/objects/088a.jpg,stimuli/objects/055b.jpg,dist2,target,dist1,lure
HAJÓ UTCA,stimuli/objects/037a.jpg,object,left,Camponello,2,stimuli/scenes/014a.jpg,stimuli/objects/053a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/053b.jpg,stimuli/scenes/014a.jpg,dist1,lure,dist2,target
TISZTÁS UTCA,stimuli/objects/054a.jpg,object,left,Camponello,0,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/objects/115a.jpg,stimuli/objects/054a.jpg,stimuli/objects/115b.jpg,lure,dist1,target,dist2
LIGET UTCA,stimuli/scenes/093a.jpg,scene,right,Camponello,0,stimuli/scenes/093a.jpg,stimuli/scenes/093a.jpg,stimuli/scenes/093b.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/046a.jpg,target,lure,dist2,dist1
FÜZET UTCA,stimuli/scenes/027a.jpg,scene,right,Camponello,1,stimuli/scenes/097a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/100a.jpg,target,dist2,lure,dist1
