Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
ASZTAL UTCA,stimuli/objects/049a.jpg,object,0,stimuli/objects/049a.jpg,stimuli/objects/090b.jpg,stimuli/objects/049b.jpg,stimuli/objects/049a.jpg,stimuli/objects/090a.jpg,dist2,lure,target,dist1
VASALÓ UTCA,stimuli/objects/096a.jpg,object,1,stimuli/objects/089a.jpg,stimuli/objects/095a.jpg,stimuli/objects/089a.jpg,stimuli/objects/095b.jpg,stimuli/objects/089b.jpg,dist1,target,dist2,lure
TIGRIS UTCA,stimuli/scenes/045a.jpg,scene,0,stimuli/scenes/045a.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/045b.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/102a.jpg,target,lure,dist2,dist1
SZOBOR UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,dist1,dist2,lure,target
VÁSÁR UTCA,stimuli/scenes/067a.jpg,scene,2,stimuli/objects/080a.jpg,stimuli/objects/080a.jpg,stimuli/scenes/017b.jpg,stimuli/objects/080b.jpg,stimuli/scenes/017a.jpg,target,dist2,lure,dist1
SALÁTA UTCA,stimuli/scenes/049a.jpg,scene,1,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,stimuli/scenes/085a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/085b.jpg,lure,dist1,target,dist2
TALICSKA UTCA,stimuli/scenes/026a.jpg,scene,0,stimuli/scenes/026a.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/026a.jpg,dist2,lure,dist1,target
ÁLLOMÁS UTCA,stimuli/objects/090a.jpg,object,0,stimuli/objects/090a.jpg,stimuli/objects/090b.jpg,stimuli/scenes/092b.jpg,stimuli/objects/090a.jpg,stimuli/scenes/092a.jpg,lure,dist2,target,dist1
CUKOR UTCA,stimuli/scenes/081a.jpg,scene,0,stimuli/scenes/081a.jpg,stimuli/scenes/081b.jpg,stimuli/scenes/081a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/007a.jpg,lure,target,dist2,dist1
RÓZSA UTCA,stimuli/scenes/083a.jpg,scene,0,stimuli/scenes/083a.jpg,stimuli/objects/033b.jpg,stimuli/objects/033a.jpg,stimuli/scenes/083b.jpg,stimuli/scenes/083a.jpg,dist2,dist1,lure,target
KORONG UTCA,stimuli/objects/112a.jpg,object,0,stimuli/objects/112a.jpg,stimuli/scenes/054b.jpg,stimuli/objects/112a.jpg,stimuli/scenes/054a.jpg,stimuli/objects/112b.jpg,dist2,target,dist1,lure
KESELYŰ UTCA,stimuli/scenes/112a.jpg,scene,2,stimuli/objects/084a.jpg,stimuli/scenes/095a.jpg,stimuli/objects/084b.jpg,stimuli/scenes/095b.jpg,stimuli/objects/084a.jpg,dist1,lure,dist2,target
NARANCS UTCA,stimuli/objects/093a.jpg,object,2,stimuli/scenes/064a.jpg,stimuli/scenes/064a.jpg,stimuli/objects/043b.jpg,stimuli/objects/043a.jpg,stimuli/scenes/064b.jpg,target,dist2,dist1,lure
PÁFRÁNY UTCA,stimuli/scenes/013a.jpg,scene,0,stimuli/scenes/013a.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/013a.jpg,dist2,dist1,lure,target
PADLÓ UTCA,stimuli/scenes/043a.jpg,scene,2,stimuli/objects/043a.jpg,stimuli/scenes/120a.jpg,stimuli/objects/043a.jpg,stimuli/scenes/120b.jpg,stimuli/objects/043b.jpg,dist1,target,dist2,lure
KANÁL UTCA,stimuli/objects/066a.jpg,object,0,stimuli/objects/066a.jpg,stimuli/objects/066a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/066b.jpg,stimuli/scenes/079a.jpg,target,dist2,lure,dist1
LEGELŐ UTCA,stimuli/objects/083a.jpg,object,1,stimuli/objects/012a.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/072a.jpg,stimuli/objects/012b.jpg,stimuli/objects/012a.jpg,dist2,dist1,lure,target
PAPAGÁJ UTCA,stimuli/objects/078a.jpg,object,2,stimuli/scenes/120a.jpg,stimuli/objects/107b.jpg,stimuli/objects/107a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,dist2,dist1,target,lure
KECSKE UTCA,stimuli/objects/016a.jpg,object,0,stimuli/objects/016a.jpg,stimuli/objects/016a.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,stimuli/objects/016b.jpg,target,dist2,dist1,lure
SZIKLA UTCA,stimuli/scenes/012a.jpg,scene,1,stimuli/scenes/116a.jpg,stimuli/objects/056a.jpg,stimuli/scenes/116b.jpg,stimuli/objects/056b.jpg,stimuli/scenes/116a.jpg,dist1,lure,dist2,target
KÖTÉNY UTCA,stimuli/scenes/082a.jpg,scene,1,stimuli/scenes/085a.jpg,stimuli/scenes/085a.jpg,stimuli/objects/012b.jpg,stimuli/objects/012a.jpg,stimuli/scenes/085b.jpg,target,dist2,dist1,lure
KERÉK UTCA,stimuli/objects/060a.jpg,object,0,stimuli/objects/060a.jpg,stimuli/objects/060b.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/objects/060a.jpg,lure,dist1,dist2,target
KESZTYŰ UTCA,stimuli/objects/033a.jpg,object,0,stimuli/objects/033a.jpg,stimuli/objects/033b.jpg,stimuli/objects/027b.jpg,stimuli/objects/033a.jpg,stimuli/objects/027a.jpg,lure,dist2,target,dist1
DOMINÓ UTCA,stimuli/scenes/034a.jpg,scene,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/objects/036a.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,lure,target,dist2,dist1
CSILLAG UTCA,stimuli/scenes/114a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/110a.jpg,stimuli/objects/110b.jpg,stimuli/objects/107b.jpg,stimuli/objects/107a.jpg,dist1,dist2,lure,target
RÁDIÓ UTCA,stimuli/scenes/079a.jpg,scene,0,stimuli/scenes/079a.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/079b.jpg,stimuli/scenes/076a.jpg,dist2,target,lure,dist1
KERET UTCA,stimuli/objects/009a.jpg,object,0,stimuli/objects/009a.jpg,stimuli/objects/066a.jpg,stimuli/objects/009b.jpg,stimuli/objects/066b.jpg,stimuli/objects/009a.jpg,dist1,lure,dist2,target
LOVAGLÁS UTCA,stimuli/scenes/029a.jpg,scene,0,stimuli/scenes/029a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/083a.jpg,stimuli/scenes/083b.jpg,stimuli/scenes/029a.jpg,lure,dist1,dist2,target
MUSTÁR UTCA,stimuli/objects/030a.jpg,object,0,stimuli/objects/030a.jpg,stimuli/scenes/098a.jpg,stimuli/scenes/098b.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,dist1,dist2,lure,target
POLIP UTCA,stimuli/scenes/050a.jpg,scene,0,stimuli/scenes/050a.jpg,stimuli/scenes/050a.jpg,stimuli/objects/004b.jpg,stimuli/scenes/050b.jpg,stimuli/objects/004a.jpg,target,dist2,lure,dist1
TENISZ UTCA,stimuli/objects/065a.jpg,object,0,stimuli/objects/065a.jpg,stimuli/objects/065a.jpg,stimuli/objects/065b.jpg,stimuli/objects/069a.jpg,stimuli/objects/069b.jpg,target,lure,dist1,dist2
SZŐLŐ UTCA,stimuli/objects/031a.jpg,object,0,stimuli/objects/031a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/objects/031b.jpg,stimuli/objects/031a.jpg,dist1,dist2,lure,target
PÁRNA UTCA,stimuli/objects/032a.jpg,object,2,stimuli/scenes/095a.jpg,stimuli/scenes/095b.jpg,stimuli/scenes/095a.jpg,stimuli/scenes/101b.jpg,stimuli/scenes/101a.jpg,lure,target,dist2,dist1
BÖGRE UTCA,stimuli/objects/113a.jpg,object,0,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,stimuli/objects/001b.jpg,stimuli/objects/001a.jpg,stimuli/objects/113a.jpg,lure,dist2,dist1,target
BOHÓC UTCA,stimuli/objects/044a.jpg,object,0,stimuli/objects/044a.jpg,stimuli/objects/112b.jpg,stimuli/objects/044a.jpg,stimuli/objects/112a.jpg,stimuli/objects/044b.jpg,dist2,target,dist1,lure
PÉKSÉG UTCA,stimuli/scenes/104a.jpg,scene,0,stimuli/scenes/104a.jpg,stimuli/scenes/104a.jpg,stimuli/objects/037b.jpg,stimuli/scenes/104b.jpg,stimuli/objects/037a.jpg,target,dist2,lure,dist1
LEMEZ UTCA,stimuli/scenes/041a.jpg,scene,0,stimuli/scenes/041a.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/041b.jpg,dist2,dist1,target,lure
EGÉR UTCA,stimuli/scenes/069a.jpg,scene,1,stimuli/scenes/075a.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/075a.jpg,stimuli/scenes/116b.jpg,stimuli/scenes/075b.jpg,dist1,target,dist2,lure
MOGYORÓ UTCA,stimuli/objects/088a.jpg,object,1,stimuli/objects/056a.jpg,stimuli/objects/056a.jpg,stimuli/objects/052b.jpg,stimuli/objects/052a.jpg,stimuli/objects/056b.jpg,target,dist2,dist1,lure
HORGONY UTCA,stimuli/scenes/054a.jpg,scene,0,stimuli/scenes/054a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/054a.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,lure,target,dist1,dist2
MAJOM UTCA,stimuli/objects/010a.jpg,object,1,stimuli/objects/102a.jpg,stimuli/scenes/086b.jpg,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,stimuli/scenes/086a.jpg,dist2,target,lure,dist1
MARTINI UTCA,stimuli/objects/097a.jpg,object,1,stimuli/objects/052a.jpg,stimuli/objects/052b.jpg,stimuli/objects/052a.jpg,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,lure,target,dist1,dist2
ORVOS UTCA,stimuli/scenes/097a.jpg,scene,0,stimuli/scenes/097a.jpg,stimuli/objects/044a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/objects/044b.jpg,dist1,target,lure,dist2
ZEBRA UTCA,stimuli/scenes/031a.jpg,scene,2,stimuli/objects/110a.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/005b.jpg,stimuli/objects/110b.jpg,stimuli/objects/110a.jpg,dist1,dist2,lure,target
PIZSAMA UTCA,stimuli/objects/004a.jpg,object,0,stimuli/objects/004a.jpg,stimuli/objects/004a.jpg,stimuli/scenes/104a.jpg,stimuli/objects/004b.jpg,stimuli/scenes/104b.jpg,target,dist1,lure,dist2
VÖDÖR UTCA,stimuli/objects/027a.jpg,object,0,stimuli/objects/027a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,stimuli/objects/027a.jpg,stimuli/objects/027b.jpg,dist1,dist2,target,lure
FOGAS UTCA,stimuli/scenes/060a.jpg,scene,0,stimuli/scenes/060a.jpg,stimuli/scenes/060a.jpg,stimuli/objects/045a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/060b.jpg,target,dist1,dist2,lure
SÜTEMÉNY UTCA,stimuli/scenes/102a.jpg,scene,0,stimuli/scenes/102a.jpg,stimuli/scenes/102a.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,target,lure,dist2,dist1
FÜGE UTCA,stimuli/scenes/007a.jpg,scene,0,stimuli/scenes/007a.jpg,stimuli/objects/100a.jpg,stimuli/scenes/007a.jpg,stimuli/objects/100b.jpg,stimuli/scenes/007b.jpg,dist1,target,dist2,lure
KÍGYÓ UTCA,stimuli/scenes/030a.jpg,scene,0,stimuli/scenes/030a.jpg,stimuli/scenes/030a.jpg,stimuli/scenes/057a.jpg,stimuli/scenes/057b.jpg,stimuli/scenes/030b.jpg,target,dist1,dist2,lure
KAKAS UTCA,stimuli/objects/100a.jpg,object,0,stimuli/objects/100a.jpg,stimuli/objects/049a.jpg,stimuli/objects/100b.jpg,stimuli/objects/049b.jpg,stimuli/objects/100a.jpg,dist1,lure,dist2,target
TOLMÁCS UTCA,stimuli/objects/069a.jpg,object,0,stimuli/objects/069a.jpg,stimuli/objects/069b.jpg,stimuli/objects/054b.jpg,stimuli/objects/054a.jpg,stimuli/objects/069a.jpg,lure,dist2,dist1,target
TELEP UTCA,stimuli/scenes/033a.jpg,scene,0,stimuli/scenes/033a.jpg,stimuli/scenes/033b.jpg,stimuli/objects/018a.jpg,stimuli/objects/018b.jpg,stimuli/scenes/033a.jpg,lure,dist1,dist2,target
KULLANCS UTCA,stimuli/objects/074a.jpg,object,0,stimuli/objects/074a.jpg,stimuli/objects/031a.jpg,stimuli/objects/074b.jpg,stimuli/objects/074a.jpg,stimuli/objects/031b.jpg,dist1,lure,target,dist2
VIHAR UTCA,stimuli/objects/054a.jpg,object,0,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/scenes/060a.jpg,stimuli/objects/054a.jpg,stimuli/scenes/060b.jpg,lure,dist1,target,dist2
FOLYÓ UTCA,stimuli/scenes/098a.jpg,scene,0,stimuli/scenes/098a.jpg,stimuli/scenes/098a.jpg,stimuli/scenes/030a.jpg,stimuli/scenes/098b.jpg,stimuli/scenes/030b.jpg,target,dist1,lure,dist2
FÉSŰ UTCA,stimuli/scenes/109a.jpg,scene,0,stimuli/scenes/109a.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/081a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/081b.jpg,target,dist1,lure,dist2
HORDÓ UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/objects/016a.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,stimuli/objects/016b.jpg,dist1,lure,target,dist2
KAKAÓ UTCA,stimuli/objects/017a.jpg,object,1,stimuli/objects/095a.jpg,stimuli/objects/095b.jpg,stimuli/objects/089b.jpg,stimuli/objects/089a.jpg,stimuli/objects/095a.jpg,lure,dist2,dist1,target
VITORLA UTCA,stimuli/scenes/002a.jpg,scene,0,stimuli/scenes/002a.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/002b.jpg,target,dist2,dist1,lure
LÉPCSŐ UTCA,stimuli/objects/018a.jpg,object,0,stimuli/objects/018a.jpg,stimuli/objects/101b.jpg,stimuli/objects/101a.jpg,stimuli/objects/018a.jpg,stimuli/objects/018b.jpg,dist2,dist1,target,lure
TORONY UTCA,stimuli/scenes/066a.jpg,scene,0,stimuli/scenes/066a.jpg,stimuli/scenes/056b.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/066b.jpg,stimuli/scenes/066a.jpg,dist2,dist1,lure,target
TISZTÁS UTCA,stimuli/objects/101a.jpg,object,0,stimuli/objects/101a.jpg,stimuli/objects/101a.jpg,stimuli/objects/060a.jpg,stimuli/objects/060b.jpg,stimuli/objects/101b.jpg,target,dist1,dist2,lure
HEGESZTŐ UTCA,stimuli/scenes/056a.jpg,scene,0,stimuli/scenes/056a.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/056b.jpg,stimuli/scenes/013a.jpg,stimuli/scenes/056a.jpg,dist2,lure,dist1,target
MANDARIN UTCA,stimuli/scenes/092a.jpg,scene,0,stimuli/scenes/092a.jpg,stimuli/scenes/092b.jpg,stimuli/scenes/092a.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/002b.jpg,lure,target,dist1,dist2
