Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
TÜKÖR UTCA,stimuli/objects/025a.jpg,object,1,stimuli/objects/108a.jpg,stimuli/objects/108a.jpg,stimuli/objects/108b.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/011a.jpg,target,lure,dist2,dist1
FÜGE UTCA,stimuli/objects/080a.jpg,object,1,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,lure,target,dist1,dist2
TENISZ UTCA,stimuli/scenes/039a.jpg,scene,1,stimuli/scenes/011a.jpg,stimuli/scenes/011a.jpg,stimuli/objects/051b.jpg,stimuli/scenes/011b.jpg,stimuli/objects/051a.jpg,target,dist2,lure,dist1
FÉNYKÉP UTCA,stimuli/objects/036a.jpg,object,0,stimuli/objects/036a.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,stimuli/objects/036b.jpg,stimuli/objects/036a.jpg,dist1,dist2,lure,target
HARMONIKA UTCA,stimuli/objects/023a.jpg,object,1,stimuli/objects/090a.jpg,stimuli/objects/090a.jpg,stimuli/objects/092b.jpg,stimuli/objects/092a.jpg,stimuli/objects/090b.jpg,target,dist2,dist1,lure
SZŐNYEG UTCA,stimuli/scenes/036a.jpg,scene,0,stimuli/scenes/036a.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,stimuli/scenes/007b.jpg,dist1,target,lure,dist2
FOLYÓ UTCA,stimuli/objects/104a.jpg,object,2,stimuli/scenes/033a.jpg,stimuli/scenes/033b.jpg,stimuli/objects/111a.jpg,stimuli/scenes/033a.jpg,stimuli/objects/111b.jpg,lure,dist1,target,dist2
GYŰRŰ UTCA,stimuli/objects/012a.jpg,object,1,stimuli/objects/019a.jpg,stimuli/objects/019a.jpg,stimuli/objects/019b.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/013a.jpg,target,lure,dist2,dist1
CITROM UTCA,stimuli/scenes/043a.jpg,scene,2,stimuli/objects/117a.jpg,stimuli/objects/117a.jpg,stimuli/objects/022a.jpg,stimuli/objects/022b.jpg,stimuli/objects/117b.jpg,target,dist1,dist2,lure
ÁLOM UTCA,stimuli/scenes/083a.jpg,scene,0,stimuli/scenes/083a.jpg,stimuli/objects/031b.jpg,stimuli/scenes/083b.jpg,stimuli/objects/031a.jpg,stimuli/scenes/083a.jpg,dist2,lure,dist1,target
TRIATLON UTCA,stimuli/scenes/006a.jpg,scene,2,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/041a.jpg,stimuli/objects/103a.jpg,stimuli/scenes/041b.jpg,lure,dist1,target,dist2
PADLÓ UTCA,stimuli/scenes/062a.jpg,scene,2,stimuli/objects/028a.jpg,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,target,lure,dist2,dist1
KÖNYVTÁR UTCA,stimuli/objects/094a.jpg,object,1,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,stimuli/objects/062a.jpg,stimuli/objects/099a.jpg,stimuli/objects/099b.jpg,lure,target,dist1,dist2
HAJÓ UTCA,stimuli/scenes/032a.jpg,scene,2,stimuli/objects/056a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/088a.jpg,stimuli/objects/056a.jpg,stimuli/objects/056b.jpg,dist2,dist1,target,lure
EGÉR UTCA,stimuli/scenes/120a.jpg,scene,0,stimuli/scenes/120a.jpg,stimuli/scenes/056b.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/120b.jpg,dist2,target,dist1,lure
BOHÓC UTCA,stimuli/objects/120a.jpg,object,2,stimuli/scenes/079a.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/079b.jpg,dist2,target,dist1,lure
ZONGORA UTCA,stimuli/scenes/056a.jpg,scene,0,stimuli/scenes/056a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/056b.jpg,stimuli/objects/011b.jpg,stimuli/scenes/056a.jpg,dist1,lure,dist2,target
RÓZSA UTCA,stimuli/scenes/102a.jpg,scene,2,stimuli/objects/061a.jpg,stimuli/objects/061b.jpg,stimuli/objects/001b.jpg,stimuli/objects/061a.jpg,stimuli/objects/001a.jpg,lure,dist2,target,dist1
KÓKUSZ UTCA,stimuli/scenes/070a.jpg,scene,2,stimuli/objects/091a.jpg,stimuli/objects/117b.jpg,stimuli/objects/117a.jpg,stimuli/objects/091a.jpg,stimuli/objects/091b.jpg,dist2,dist1,target,lure
PÁRNA UTCA,stimuli/objects/021a.jpg,object,2,stimuli/scenes/046a.jpg,stimuli/scenes/073b.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/073a.jpg,dist2,target,lure,dist1
RÁDIÓ UTCA,stimuli/scenes/007a.jpg,scene,0,stimuli/scenes/007a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/114a.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,dist2,dist1,target,lure
ASZTAL UTCA,stimuli/scenes/072a.jpg,scene,2,stimuli/objects/001a.jpg,stimuli/objects/001a.jpg,stimuli/scenes/079b.jpg,stimuli/scenes/079a.jpg,stimuli/objects/001b.jpg,target,dist2,dist1,lure
BANÁN UTCA,stimuli/objects/015a.jpg,object,2,stimuli/scenes/073a.jpg,stimuli/scenes/073a.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/scenes/073b.jpg,target,dist1,dist2,lure
FÓKA UTCA,stimuli/scenes/085a.jpg,scene,0,stimuli/scenes/085a.jpg,stimuli/scenes/085b.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/085a.jpg,stimuli/scenes/117b.jpg,lure,dist1,target,dist2
MARTINI UTCA,stimuli/scenes/078a.jpg,scene,1,stimuli/scenes/080a.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/106a.jpg,target,lure,dist2,dist1
TOBOZ UTCA,stimuli/objects/034a.jpg,object,0,stimuli/objects/034a.jpg,stimuli/objects/034b.jpg,stimuli/objects/034a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/119b.jpg,lure,target,dist1,dist2
LABDA UTCA,stimuli/objects/063a.jpg,object,1,stimuli/objects/016a.jpg,stimuli/objects/095b.jpg,stimuli/objects/016b.jpg,stimuli/objects/095a.jpg,stimuli/objects/016a.jpg,dist2,lure,dist1,target
PAPAGÁJ UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/objects/114a.jpg,stimuli/objects/052b.jpg,stimuli/objects/052a.jpg,stimuli/objects/114b.jpg,target,dist2,dist1,lure
LEMEZ UTCA,stimuli/scenes/111a.jpg,scene,2,stimuli/objects/106a.jpg,stimuli/scenes/065a.jpg,stimuli/objects/106a.jpg,stimuli/objects/106b.jpg,stimuli/scenes/065b.jpg,dist1,target,lure,dist2
AKÁC UTCA,stimuli/scenes/063a.jpg,scene,1,stimuli/scenes/071a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,target,lure,dist2,dist1
TISZTÁS UTCA,stimuli/scenes/031a.jpg,scene,2,stimuli/objects/068a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/047b.jpg,stimuli/objects/068a.jpg,stimuli/scenes/047a.jpg,lure,dist2,target,dist1
PÉKSÉG UTCA,stimuli/scenes/014a.jpg,scene,1,stimuli/scenes/020a.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,dist1,dist2,target,lure
KORONG UTCA,stimuli/objects/046a.jpg,object,1,stimuli/objects/099a.jpg,stimuli/objects/099a.jpg,stimuli/objects/099b.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,target,lure,dist1,dist2
FÉSŰ UTCA,stimuli/scenes/092a.jpg,scene,1,stimuli/scenes/091a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/020a.jpg,dist2,lure,target,dist1
SZAXOFON UTCA,stimuli/scenes/103a.jpg,scene,1,stimuli/scenes/018a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/018b.jpg,dist2,target,dist1,lure
KORONA UTCA,stimuli/scenes/116a.jpg,scene,1,stimuli/scenes/104a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/018b.jpg,lure,dist1,target,dist2
KARTON UTCA,stimuli/objects/020a.jpg,object,0,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/objects/081b.jpg,stimuli/objects/020a.jpg,stimuli/objects/081a.jpg,lure,dist2,target,dist1
MUNKA UTCA,stimuli/scenes/004a.jpg,scene,2,stimuli/objects/022a.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/051b.jpg,lure,target,dist1,dist2
PAPRIKA UTCA,stimuli/scenes/082a.jpg,scene,2,stimuli/objects/009a.jpg,stimuli/objects/106b.jpg,stimuli/objects/106a.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,dist2,dist1,target,lure
REPÜLŐ UTCA,stimuli/objects/048a.jpg,object,1,stimuli/objects/095a.jpg,stimuli/objects/095a.jpg,stimuli/scenes/042b.jpg,stimuli/scenes/042a.jpg,stimuli/objects/095b.jpg,target,dist2,dist1,lure
MÁRVÁNY UTCA,stimuli/scenes/035a.jpg,scene,1,stimuli/scenes/042a.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/042b.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/042a.jpg,dist1,lure,dist2,target
KOKTÉL UTCA,stimuli/scenes/010a.jpg,scene,0,stimuli/scenes/010a.jpg,stimuli/scenes/010a.jpg,stimuli/objects/079a.jpg,stimuli/scenes/010b.jpg,stimuli/objects/079b.jpg,target,dist1,lure,dist2
TOLMÁCS UTCA,stimuli/objects/044a.jpg,object,2,stimuli/scenes/110a.jpg,stimuli/scenes/110a.jpg,stimuli/scenes/110b.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,target,lure,dist2,dist1
VASALÓ UTCA,stimuli/objects/057a.jpg,object,0,stimuli/objects/057a.jpg,stimuli/scenes/016b.jpg,stimuli/objects/057b.jpg,stimuli/scenes/016a.jpg,stimuli/objects/057a.jpg,dist2,lure,dist1,target
TOJÁS UTCA,stimuli/scenes/001a.jpg,scene,2,stimuli/objects/072a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/108a.jpg,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,dist2,dist1,target,lure
MENTA UTCA,stimuli/objects/109a.jpg,object,2,stimuli/scenes/038a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,target,lure,dist2,dist1
ÁLLOMÁS UTCA,stimuli/scenes/053a.jpg,scene,1,stimuli/scenes/015a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/015b.jpg,stimuli/scenes/015a.jpg,stimuli/objects/038a.jpg,dist2,lure,target,dist1
KÁRTYA UTCA,stimuli/objects/018a.jpg,object,1,stimuli/objects/003a.jpg,stimuli/objects/003b.jpg,stimuli/objects/016b.jpg,stimuli/objects/003a.jpg,stimuli/objects/016a.jpg,lure,dist2,target,dist1
HORDÓ UTCA,stimuli/objects/052a.jpg,object,0,stimuli/objects/052a.jpg,stimuli/objects/052b.jpg,stimuli/objects/057b.jpg,stimuli/objects/052a.jpg,stimuli/objects/057a.jpg,lure,dist2,target,dist1
OLDAL UTCA,stimuli/objects/079a.jpg,object,0,stimuli/objects/079a.jpg,stimuli/objects/079a.jpg,stimuli/scenes/120a.jpg,stimuli/objects/079b.jpg,stimuli/scenes/120b.jpg,target,dist1,lure,dist2
KULLANCS UTCA,stimuli/scenes/057a.jpg,scene,1,stimuli/scenes/066a.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/066b.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/066a.jpg,dist1,lure,dist2,target
FEJSZE UTCA,stimuli/scenes/114a.jpg,scene,0,stimuli/scenes/114a.jpg,stimuli/scenes/114b.jpg,stimuli/objects/114a.jpg,stimuli/objects/114b.jpg,stimuli/scenes/114a.jpg,lure,dist1,dist2,target
PÁFRÁNY UTCA,stimuli/objects/037a.jpg,object,1,stimuli/objects/070a.jpg,stimuli/objects/070a.jpg,stimuli/scenes/066a.jpg,stimuli/objects/070b.jpg,stimuli/scenes/066b.jpg,target,dist1,lure,dist2
KAKAÓ UTCA,stimuli/objects/054a.jpg,object,0,stimuli/objects/054a.jpg,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,target,lure,dist1,dist2
HORGONY UTCA,stimuli/objects/031a.jpg,object,0,stimuli/objects/031a.jpg,stimuli/objects/031a.jpg,stimuli/objects/031b.jpg,stimuli/scenes/085a.jpg,stimuli/scenes/085b.jpg,target,lure,dist1,dist2
SZAPPAN UTCA,stimuli/objects/011a.jpg,object,0,stimuli/objects/011a.jpg,stimuli/objects/011b.jpg,stimuli/scenes/010a.jpg,stimuli/scenes/010b.jpg,stimuli/objects/011a.jpg,lure,dist1,dist2,target
KOSÁR UTCA,stimuli/objects/081a.jpg,object,0,stimuli/objects/081a.jpg,stimuli/objects/081a.jpg,stimuli/scenes/083a.jpg,stimuli/scenes/083b.jpg,stimuli/objects/081b.jpg,target,dist1,dist2,lure
HARCSA UTCA,stimuli/objects/098a.jpg,object,2,stimuli/scenes/090a.jpg,stimuli/scenes/090b.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/110a.jpg,stimuli/scenes/110b.jpg,lure,target,dist1,dist2
KRÉTA UTCA,stimuli/scenes/119a.jpg,scene,0,stimuli/scenes/119a.jpg,stimuli/objects/035b.jpg,stimuli/scenes/119b.jpg,stimuli/objects/035a.jpg,stimuli/scenes/119a.jpg,dist2,lure,dist1,target
